Date,Open,High,Low,Close,Adj Close,Volume
1988-01-04,256.019989,256.019989,256.019989,256.019989,256.019989,0
1988-01-05,258.769989,258.769989,258.769989,258.769989,258.769989,0
1988-01-06,259.029999,259.029999,259.029999,259.029999,259.029999,0
1988-01-07,261.209991,261.209991,261.209991,261.209991,261.209991,0
1988-01-08,243.550003,243.550003,243.550003,243.550003,243.550003,0
1988-01-11,247.669998,247.669998,247.669998,247.669998,247.669998,0
1988-01-12,245.600006,245.600006,245.600006,245.600006,245.600006,0
1988-01-13,246.020004,246.020004,246.020004,246.020004,246.020004,0
1988-01-14,246.089996,246.089996,246.089996,246.089996,246.089996,0
1988-01-15,252.289993,252.289993,252.289993,252.289993,252.289993,0
1988-01-18,252.119995,252.119995,252.119995,252.119995,252.119995,0
1988-01-19,249.570007,249.570007,249.570007,249.570007,249.570007,0
1988-01-20,242.869995,242.869995,242.869995,242.869995,242.869995,0
1988-01-21,243.380005,243.380005,243.380005,243.380005,243.380005,0
1988-01-22,246.750000,246.750000,246.750000,246.750000,246.750000,0
1988-01-25,252.509995,252.509995,252.509995,252.509995,252.509995,0
1988-01-26,249.949997,249.949997,249.949997,249.949997,249.949997,0
1988-01-27,249.759995,249.759995,249.759995,249.759995,249.759995,0
1988-01-28,253.669998,253.669998,253.669998,253.669998,253.669998,0
1988-01-29,257.470001,257.470001,257.470001,257.470001,257.470001,0
1988-02-01,255.509995,255.509995,255.509995,255.509995,255.509995,0
1988-02-02,256.149994,256.149994,256.149994,256.149994,256.149994,0
1988-02-03,252.789993,252.789993,252.789993,252.789993,252.789993,0
1988-02-04,252.970001,252.970001,252.970001,252.970001,252.970001,0
1988-02-05,251.919998,251.919998,251.919998,251.919998,251.919998,0
1988-02-08,250.100006,250.100006,250.100006,250.100006,250.100006,0
1988-02-09,252.770004,252.770004,252.770004,252.770004,252.770004,0
1988-02-10,257.760010,257.760010,257.760010,257.760010,257.760010,0
1988-02-11,257.059998,257.059998,257.059998,257.059998,257.059998,0
1988-02-12,258.869995,258.869995,258.869995,258.869995,258.869995,0
1988-02-16,261.140015,261.140015,261.140015,261.140015,261.140015,0
1988-02-17,260.540009,260.540009,260.540009,260.540009,260.540009,0
1988-02-18,259.230011,259.230011,259.230011,259.230011,259.230011,0
1988-02-19,262.959991,262.959991,262.959991,262.959991,262.959991,0
1988-02-22,267.079987,267.079987,267.079987,267.079987,267.079987,0
1988-02-23,266.480011,266.480011,266.480011,266.480011,266.480011,0
1988-02-24,265.959991,265.959991,265.959991,265.959991,265.959991,0
1988-02-25,263.100006,263.100006,263.100006,263.100006,263.100006,0
1988-02-26,263.989990,263.989990,263.989990,263.989990,263.989990,0
1988-02-29,269.480011,269.480011,269.480011,269.480011,269.480011,0
1988-03-01,269.440002,269.440002,269.440002,269.440002,269.440002,0
1988-03-02,269.750000,269.750000,269.750000,269.750000,269.750000,0
1988-03-03,269.649994,269.649994,269.649994,269.649994,269.649994,0
1988-03-04,269.100006,269.100006,269.100006,269.100006,269.100006,0
1988-03-07,269.220001,269.220001,269.220001,269.220001,269.220001,0
1988-03-08,271.339996,271.339996,271.339996,271.339996,271.339996,0
1988-03-09,271.029999,271.029999,271.029999,271.029999,271.029999,0
1988-03-10,265.779999,265.779999,265.779999,265.779999,265.779999,0
1988-03-11,266.899994,266.899994,266.899994,266.899994,266.899994,0
1988-03-14,268.359985,268.359985,268.359985,268.359985,268.359985,0
1988-03-15,268.130005,268.130005,268.130005,268.130005,268.130005,0
1988-03-16,270.869995,270.869995,270.869995,270.869995,270.869995,0
1988-03-17,273.269989,273.269989,273.269989,273.269989,273.269989,0
1988-03-18,273.179993,273.179993,273.179993,273.179993,273.179993,0
1988-03-21,270.790009,270.790009,270.790009,270.790009,270.790009,0
1988-03-22,270.899994,270.899994,270.899994,270.899994,270.899994,0
1988-03-23,270.980011,270.980011,270.980011,270.980011,270.980011,0
1988-03-24,265.380005,265.380005,265.380005,265.380005,265.380005,0
1988-03-25,260.720001,260.720001,260.720001,260.720001,260.720001,0
1988-03-28,260.279999,260.279999,260.279999,260.279999,260.279999,0
1988-03-29,262.329987,262.329987,262.329987,262.329987,262.329987,0
1988-03-30,260.320007,260.320007,260.320007,260.320007,260.320007,0
1988-03-31,261.149994,261.149994,261.149994,261.149994,261.149994,0
1988-04-04,258.410004,258.410004,258.410004,258.410004,258.410004,0
1988-04-05,260.890015,260.890015,260.890015,260.890015,260.890015,0
1988-04-06,267.940002,267.940002,267.940002,267.940002,267.940002,0
1988-04-07,268.609985,268.609985,268.609985,268.609985,268.609985,0
1988-04-08,271.920013,271.920013,271.920013,271.920013,271.920013,0
1988-04-11,272.679993,272.679993,272.679993,272.679993,272.679993,0
1988-04-12,273.899994,273.899994,273.899994,273.899994,273.899994,0
1988-04-13,274.109985,274.109985,274.109985,274.109985,274.109985,0
1988-04-14,262.209991,262.209991,262.209991,262.209991,262.209991,0
1988-04-15,262.230011,262.230011,262.230011,262.230011,262.230011,0
1988-04-18,261.679993,261.679993,261.679993,261.679993,261.679993,0
1988-04-19,260.390015,260.390015,260.390015,260.390015,260.390015,0
1988-04-20,258.579987,258.579987,258.579987,258.579987,258.579987,0
1988-04-21,258.880005,258.880005,258.880005,258.880005,258.880005,0
1988-04-22,262.640015,262.640015,262.640015,262.640015,262.640015,0
1988-04-25,265.040009,265.040009,265.040009,265.040009,265.040009,0
1988-04-26,266.609985,266.609985,266.609985,266.609985,266.609985,0
1988-04-27,266.519989,266.519989,266.519989,266.519989,266.519989,0
1988-04-28,265.320007,265.320007,265.320007,265.320007,265.320007,0
1988-04-29,264.040009,264.040009,264.040009,264.040009,264.040009,0
1988-05-02,264.329987,264.329987,264.329987,264.329987,264.329987,0
1988-05-03,265.890015,265.890015,265.890015,265.890015,265.890015,0
1988-05-04,263.230011,263.230011,263.230011,263.230011,263.230011,0
1988-05-05,261.839996,261.839996,261.839996,261.839996,261.839996,0
1988-05-06,260.589996,260.589996,260.589996,260.589996,260.589996,0
1988-05-09,259.880005,259.880005,259.880005,259.880005,259.880005,0
1988-05-10,261.010010,261.010010,261.010010,261.010010,261.010010,0
1988-05-11,256.649994,256.649994,256.649994,256.649994,256.649994,0
1988-05-12,257.209991,257.209991,257.209991,257.209991,257.209991,0
1988-05-13,260.200012,260.200012,260.200012,260.200012,260.200012,0
1988-05-16,262.290009,262.290009,262.290009,262.290009,262.290009,0
1988-05-17,259.049988,259.049988,259.049988,259.049988,259.049988,0
1988-05-18,255.020004,255.020004,255.020004,255.020004,255.020004,0
1988-05-19,256.299988,256.299988,256.299988,256.299988,256.299988,0
1988-05-20,256.760010,256.760010,256.760010,256.760010,256.760010,0
1988-05-23,254.580002,254.580002,254.580002,254.580002,254.580002,0
1988-05-24,257.329987,257.329987,257.329987,257.329987,257.329987,0
1988-05-25,257.640015,257.640015,257.640015,257.640015,257.640015,0
1988-05-26,258.529999,258.529999,258.529999,258.529999,258.529999,0
1988-05-27,257.399994,257.399994,257.399994,257.399994,257.399994,0
1988-05-31,266.320007,266.320007,266.320007,266.320007,266.320007,0
1988-06-01,270.950012,270.950012,270.950012,270.950012,270.950012,0
1988-06-02,269.579987,269.579987,269.579987,269.579987,269.579987,0
1988-06-03,270.739990,270.739990,270.739990,270.739990,270.739990,0
1988-06-06,271.410004,271.410004,271.410004,271.410004,271.410004,0
1988-06-07,269.559998,269.559998,269.559998,269.559998,269.559998,0
1988-06-08,276.019989,276.019989,276.019989,276.019989,276.019989,0
1988-06-09,274.779999,274.779999,274.779999,274.779999,274.779999,0
1988-06-10,275.869995,275.869995,275.869995,275.869995,275.869995,0
1988-06-13,276.070007,276.070007,276.070007,276.070007,276.070007,0
1988-06-14,279.010010,279.010010,279.010010,279.010010,279.010010,0
1988-06-15,279.170013,279.170013,279.170013,279.170013,279.170013,0
1988-06-16,274.420013,274.420013,274.420013,274.420013,274.420013,0
1988-06-17,275.359985,275.359985,275.359985,275.359985,275.359985,0
1988-06-20,273.619995,273.619995,273.619995,273.619995,273.619995,0
1988-06-21,276.399994,276.399994,276.399994,276.399994,276.399994,0
1988-06-22,280.459991,280.459991,280.459991,280.459991,280.459991,0
1988-06-23,279.609985,279.609985,279.609985,279.609985,279.609985,0
1988-06-24,278.739990,278.739990,278.739990,278.739990,278.739990,0
1988-06-27,273.970001,273.970001,273.970001,273.970001,273.970001,0
