,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
1915-01-01,1000000.0000000001,1000000.0,1000000.0,1000000.0,1000000.0
1916-01-01,1292820.1664187005,1194234.2026587715,1220268.0769154667,1141057.5578930466,1204524.0996654925
1917-01-01,1336518.7116909754,697398.1747109898,1220184.811211284,856316.4383790211,1228779.3877241737
1918-01-01,1642896.0665135058,1081805.433046632,1483024.3864070165,1167237.2979529952,1455517.8909481962
1919-01-01,1909960.236375639,1547764.6990828367,1692122.154207364,1490567.285344766,1686904.5338807348
1920-01-01,2136973.8032787475,1042154.6279197973,1813936.644186872,1201719.1866062116,1839041.6749745808
1921-01-01,2352387.158822752,1356597.0551845517,2104398.0771894543,1542651.4191933698,1956747.0942612775
1922-01-01,2759929.8895515837,2190541.9905083403,2488744.183548064,2182518.997403183,2146308.0064585996
1923-01-01,2913561.3716557715,2342784.558666146,2688070.7055453714,2367269.128426035,2307410.8712239424
1924-01-01,3441726.7951442464,3675313.1027851007,3210167.8540133284,3296957.942068073,2492462.9519691914
1925-01-01,4230499.518682541,6071388.5171724,3937800.750231253,4708361.244389809,2886575.7738557933
1926-01-01,4814275.352422435,7862786.365856887,4529057.433508691,5775343.303478133,3108513.7469166704
1927-01-01,5527887.773462968,14354055.120897043,5326508.833219887,8811072.007437022,3496197.9420518065
1928-01-01,6553076.9023693055,27110639.072228692,6335572.790386206,13598822.450939523,4175402.2558519756
1929-01-01,6885089.229878719,25314407.85070321,6734574.703466232,13581429.289439922,4272869.274206706
1930-01-01,6355092.287988219,15026850.100164436,6333595.329298477,10683761.870832115,3433566.1117014056
1931-01-01,4447820.118285341,5350829.813374864,4841472.322020774,6370000.918331102,3029124.3474992104
1932-01-01,5349407.447802573,4024616.872894927,5585411.935563631,6075156.538482205,3619589.2807445587
1933-01-01,7374112.50241635,9370418.138708148,7602528.591261784,11035262.13947908,4231880.464895103
1934-01-01,9820426.227864288,8888038.977410082,9450756.864094703,11477064.317124084,5058353.844442302
1935-01-01,12723194.30879969,18908482.513365813,12251263.517733881,19657980.08577138,5989914.327816789
1936-01-01,16023881.836237114,35140231.025414094,15254980.536892688,30556063.098483182,6748716.648663501
1937-01-01,15156093.403987752,16859950.531439718,14472752.996499863,21493997.658659708,7092925.690079672
1938-01-01,16967423.229804106,24187254.590913676,16416507.285369959,28013402.785098486,7602908.241441614
1939-01-01,17712721.960496,25344324.490137022,17328925.943318788,29917671.18829324,8259580.032716099
1940-01-01,17695829.108289417,20775948.836014554,17581189.936742816,28003186.537314907,8511561.958401266
1941-01-01,17344592.663480572,16802940.03664542,16948298.00394282,24707852.434391942,8405502.75496591
1942-01-01,19311225.431648493,22379227.04873993,18784090.329599585,30020902.030051373,8821433.386878572
1943-01-01,22863092.866822675,36085146.634399846,22097524.622560088,41633248.09267464,9581315.906105218
1944-01-01,26594477.353205577,51684968.66831532,25543927.948107712,53427394.03126036,10278004.957464587
1945-01-01,34252764.64992569,97435253.48520939,32563407.33536005,85090186.99886334,11333259.701605717
