Date,Max,GLD,TLT,SPY,rotret,CumRot,CumGLD,CumSPY,CumTLT
2005-01-03,TLT,-0.017808191618343572,0.0021458350378502633,-0.0047159006476039655,0.0021458350378502633,1.0021458350378503,0.9821918083816564,0.995284099352396,1.0021458350378503
2005-01-04,TLT,-0.006508572206357255,-0.0104805540811711,-0.012219485950148878,-0.0104805540811711,0.9916427914165157,0.9757991420763118,0.9831222392839528,0.9916427914165157
2005-01-05,TLT,-0.0016378920629933624,0.00535317071468655,-0.006900914849869766,0.00535317071468655,0.9969512245669566,0.9742008884064293,0.9763377964236409,0.9969512245669566
2005-01-06,TLT,-0.012186469776904074,0.0006787339641238788,0.005084572285701583,0.0006787339641238788,0.9976278892236451,0.9623288187232312,0.9813020565248195,0.9976278892236451
2005-01-07,TLT,-0.007354717961295498,0.002264958364247116,-0.0014334842753912502,0.002264958364247116,0.9998874748557484,0.9552511616754952,0.979895375457382,0.9998874748557484
2005-01-10,TLT,0.0026290776756787704,0.0015810084050817963,0.004728348119091619,0.0015810084050817963,1.0014683053576312,0.9577625911793224,0.9845286619128325,1.0014683053576312
2005-01-11,TLT,0.006197814464949936,0.005863746636393108,-0.006890531729179639,0.005863746636393108,1.0073406617646263,0.9636986260209215,0.9777447359296354,1.0073406617646263
2005-01-12,TLT,0.009239502442725867,0.001344755453730473,0.0032996083113829844,0.001344755453730473,1.0086952886132987,0.9726027218300933,0.9809709105867198,1.0086952886132987
2005-01-13,TLT,0.0,0.009629045213777054,-0.008012184119090104,0.009629045213777054,1.01840806115428,0.9726027218300933,0.9731111910356275,1.01840806115428
2005-01-14,TLT,-0.00657274153347609,-0.00011119903849288182,0.005271225459884343,-0.00011119903849288182,1.0182948151570863,0.9662100555247488,0.9782406795211128,1.0182948151570863
2005-01-18,TLT,0.0,0.00332678547574794,0.01040289499734448,0.00332678547574794,1.0216824635581803,0.9662100555247488,0.9884172145923019,1.0216824635581803
2005-01-19,TLT,-0.001417801836571253,0.002874359603207255,-0.010463302224561821,0.002874359603207255,1.024619146358737,0.9648401611335122,0.9780751065520631,1.024619146358737
2005-01-20,TLT,-0.0002365906751138347,0.0019841729091698568,-0.006089838639798062,0.0019841729091698568,1.0266521679111589,0.9646118889484128,0.9721187869755578,1.0266521679111589
2005-01-21,TLT,0.011597672863119524,0.0010994800938564087,-0.006127949559241563,0.0010994800938564087,1.0277809515330918,0.9757991420763122,0.9661616920833804,1.0277809515330918
2005-01-24,TLT,0.000701889988740767,0.004285360094740787,-0.0019697069397774936,0.004285360094740787,1.0321853630089264,0.9764840457251575,0.9642586366935366,1.0321853630089264
2005-01-25,TLT,-0.012391834781958044,-0.009409073084644115,0.00283143024258381,-0.009409073084644115,1.0224734554914754,0.9643836167633133,0.9669888677591434,1.0224734554914754
2005-01-26,TLT,0.010653336419529369,0.001877861851662388,0.0029945721042077267,0.001877861851662388,1.0243935193878801,0.9746575198701753,0.9698845856476144,1.0243935193878801
2005-01-27,TLT,-0.0016397211777005039,-0.0018743420961430113,0.0017061639157300856,-0.0018743420961430113,1.0224734554914754,0.9730593532938392,0.9715393677300691,1.0224734554914754
2005-01-28,TLT,0.0016424142791766627,0.010051101164061382,0.0,0.010051101164061382,1.0327504396301876,0.9746575198701753,0.9715393677300691,1.0327504396301876
2005-01-31,TLT,-0.011009543713402792,0.002841879936209102,0.006216815887568172,0.002841879936209102,1.0356853923836837,0.9639269852995679,0.9775792491067713,1.0356853923836837
2005-02-01,TLT,-0.0028423198273899164,-0.0015864278118272734,0.00634698315839799,-0.0015864278118272734,1.034042352272903,0.9611871965170947,0.9837839281368513,1.034042352272903
2005-02-02,TLT,0.0014252108186629808,0.002301685374381357,0.003027337456182,0.002301685374381357,1.0364223924316205,0.9625570909083312,0.9867621740712899,1.0364223924316205
2005-02-03,TLT,-0.01138518842442049,-0.0005464008452520375,-0.0025988021484641965,-0.0005464008452520375,1.0358560903603578,0.9515981970590778,0.9841977744132901,1.0358560903603578
2005-02-04,TLT,-0.0050383657134133175,0.013898667259759634,0.010675866584272331,0.013898667259759634,1.050253109489272,0.9468036973300694,0.9947049385454642,1.050253109489272
2005-02-07,TLT,-0.004822781698873069,0.007447567669891075,-0.001331028607371998,0.007447567669891075,1.0580749405927068,0.9422374697861606,0.9933809578163659,1.0580749405927068
2005-02-08,TLT,-0.00024235851997878033,0.005677779619524204,0.0011658662393094765,0.005677779619524204,1.0640824569263334,0.9420091105075147,0.994539107137857,1.0640824569263334
2005-02-09,GLD,0.0012119014491505098,0.002662613583122919,-0.007486671036894266,0.0012119014491505098,1.065372019997898,0.9431507327136517,0.9870933200093893,1.0669156973297083
2005-02-10,TLT,0.01065114045223603,-0.013493582077652833,0.0036040959467817935,-0.013493582077652833,1.0509963352028215,0.9531963636354142,0.9906508990431305,1.0525191827978537
2005-02-11,TLT,0.007904235474363697,-0.0006449547206446304,0.008602088637661875,-0.0006449547206446304,1.0503184901550522,0.9607306521468957,0.9991725658856789,1.0518403555823392
2005-02-14,GLD,0.011169139390555083,0.003124535692022423,-0.0007453505044155984,0.011169139390555083,1.0620496437760714,0.9714611867175033,0.9984278321096978,1.0551268683156658
2005-02-15,TLT,0.0007051138550435709,-0.005049394692974052,0.003728755794364602,-0.005049394692974052,1.0566869359411135,0.9721461774598948,1.0021507256739317,1.0497991163063785
2005-02-16,TLT,-0.0014091444506997286,-0.0037788162030134576,0.0006608705249939728,-0.0037788162030134576,1.0526939102260666,0.9707762830686583,1.0028130175501309,1.0458321183957706
