,riskparity_nested,uniform
2019-01-02,100.0,100.0
2019-01-03,100.0,100.0
2019-01-04,100.0,100.0
2019-01-07,100.0,100.0
2019-01-08,100.0,100.0
2019-01-09,100.0,100.0
2019-01-10,100.0,100.0
2019-01-11,100.0,100.0
2019-01-14,100.0,100.0
2019-01-15,100.0,100.0
2019-01-16,100.0,100.0
2019-01-17,100.0,100.0
2019-01-18,100.0,100.0
2019-01-22,100.0,100.0
2019-01-23,100.0,100.0
2019-01-24,100.0,100.0
2019-01-25,100.0,100.0
2019-01-28,100.0,100.0
2019-01-29,100.0,100.0
2019-01-30,100.0,100.0
2019-01-31,100.0,100.0
2019-02-01,100.0,100.0
2019-02-04,100.0,100.0
2019-02-05,100.0,100.0
2019-02-06,100.0,100.0
2019-02-07,100.0,100.0
2019-02-08,100.0,100.0
2019-02-11,100.0,100.0
2019-02-12,100.0,100.0
2019-02-13,100.0,100.0
2019-02-14,100.0,100.0
2019-02-15,100.0,100.0
2019-02-19,100.0,100.0
2019-02-20,100.0,100.0
2019-02-21,100.0,100.0
2019-02-22,100.0,100.0
2019-02-25,100.0,100.0
2019-02-26,100.0,100.0
2019-02-27,100.0,100.0
2019-02-28,100.0,100.0
2019-03-01,100.0,100.0
2019-03-04,100.0,100.0
2019-03-05,100.0,100.0
2019-03-06,100.0,100.0
2019-03-07,100.0,100.0
2019-03-08,100.0,100.0
2019-03-11,100.0,100.0
2019-03-12,100.0,100.0
2019-03-13,100.0,100.0
2019-03-14,100.0,100.0
2019-03-15,100.0,100.0
2019-03-18,100.0,100.0
2019-03-19,100.0,100.0
2019-03-20,100.0,100.0
2019-03-21,100.0,100.0
2019-03-22,100.0,100.0
2019-03-25,100.0,100.0
2019-03-26,100.0,100.0
2019-03-27,100.0,100.0
2019-03-28,100.0,100.0
2019-03-29,100.0,100.0
2019-04-01,100.0,100.0
2019-04-02,100.0,100.0
2019-04-03,100.0,100.0
2019-04-04,100.0,100.0
2019-04-05,100.0,100.0
2019-04-08,100.0,100.0
2019-04-09,100.0,100.0
2019-04-10,100.0,100.0
2019-04-11,100.0,100.0
2019-04-12,100.0,100.0
2019-04-15,100.0,100.0
2019-04-16,100.0,100.0
2019-04-17,100.0,100.0
2019-04-18,100.0,100.0
2019-04-22,100.0,100.0
2019-04-23,100.0,100.0
2019-04-24,100.0,100.0
2019-04-25,100.0,100.0
2019-04-26,100.0,100.0
2019-04-29,100.0,100.0
2019-04-30,100.0,100.0
2019-05-01,100.0,100.0
2019-05-02,100.0,100.0
2019-05-03,100.0,100.0
2019-05-06,100.0,100.0
2019-05-07,100.0,100.0
2019-05-08,100.0,100.0
2019-05-09,100.0,100.0
2019-05-10,100.0,100.0
2019-05-13,100.0,100.0
2019-05-14,100.0,100.0
2019-05-15,100.0,100.0
2019-05-16,100.0,100.0
2019-05-17,100.0,100.0
2019-05-20,100.0,100.0
2019-05-21,100.0,100.0
2019-05-22,100.0,100.0
2019-05-23,100.0,100.0
2019-05-24,100.0,100.0
2019-05-28,100.0,100.0
2019-05-29,100.0,100.0
2019-05-30,100.0,100.0
2019-05-31,100.0,100.0
2019-06-03,100.0,100.0
2019-06-04,100.0,100.0
2019-06-05,100.0,100.0
2019-06-06,100.0,100.0
2019-06-07,100.0,100.0
2019-06-10,100.0,100.0
2019-06-11,100.0,100.0
2019-06-12,100.0,100.0
2019-06-13,100.0,100.0
2019-06-14,100.0,100.0
2019-06-17,100.0,100.0
2019-06-18,100.0,100.0
2019-06-19,100.0,100.0
2019-06-20,100.0,100.0
2019-06-21,100.0,100.0
2019-06-24,100.0,100.0
2019-06-25,100.0,100.0
2019-06-26,100.0,100.0
2019-06-27,100.0,100.0
2019-06-28,100.0,100.0
2019-07-01,100.0,100.0
2019-07-02,100.0,100.0
2019-07-03,100.0,100.0
2019-07-05,100.0,100.0
2019-07-08,100.0,100.0
2019-07-09,100.0,100.0
2019-07-10,100.0,100.0
2019-07-11,100.0,100.0
2019-07-12,100.0,100.0
2019-07-15,100.0,100.0
2019-07-16,100.0,100.0
2019-07-17,100.0,100.0
2019-07-18,100.0,100.0
2019-07-19,100.0,100.0
2019-07-22,100.0,100.0
2019-07-23,100.0,100.0
2019-07-24,100.0,100.0
2019-07-25,100.0,100.0
2019-07-26,100.0,100.0
2019-07-29,100.0,100.0
2019-07-30,100.0,100.0
2019-07-31,100.0,100.0
2019-08-01,100.0,100.0
2019-08-02,100.0,100.0
2019-08-05,100.0,100.0
2019-08-06,100.0,100.0
2019-08-07,100.0,100.0
2019-08-08,100.0,100.0
2019-08-09,100.0,100.0
2019-08-12,100.0,100.0
2019-08-13,100.0,100.0
2019-08-14,100.0,100.0
2019-08-15,100.0,100.0
2019-08-16,100.0,100.0
2019-08-19,100.0,100.0
2019-08-20,100.0,100.0
2019-08-21,100.0,100.0
2019-08-22,100.0,100.0
2019-08-23,100.0,100.0
2019-08-26,100.0,100.0
2019-08-27,100.0,100.0
2019-08-28,100.0,100.0
2019-08-29,100.0,100.0
2019-08-30,100.0,100.0
2019-09-03,100.0,100.0
2019-09-04,100.0,100.0
2019-09-05,100.0,100.0
2019-09-06,100.0,100.0
2019-09-09,100.0,100.0
2019-09-10,100.0,100.0
2019-09-11,100.0,100.0
2019-09-12,100.0,100.0
2019-09-13,100.0,100.0
2019-09-16,100.0,100.0
2019-09-17,100.0,100.0
2019-09-18,100.0,100.0
2019-09-19,100.0,100.00000000000001
2019-09-20,101.69678809738159,101.39600133705142
2019-09-23,102.02125653839107,101.76006521415711
2019-09-24,103.31966088485714,102.625937997818
2019-09-25,100.96125523376462,100.46018012428284
2019-09-26,101.50680430984494,100.86555841827392
2019-09-27,101.23218570327755,100.25801247406005
2019-09-30,101.00101943969723,99.85700065422058
2019-10-01,101.33584542083736,99.93805217552185
2019-10-02,101.87391843414304,100.08404759216309
2019-10-03,103.62744952011104,101.72763340950013
2019-10-04,104.74028723525996,103.04268563079835
2019-10-07,103.2032523231506,101.52589058876038
2019-10-08,103.4644456672668,101.50608971595764
2019-10-09,103.02939582443234,101.43822332954407
2019-10-10,101.1752767372131,99.90822264099121
2019-10-11,99.76438412475582,98.98924487876891
2019-10-14,100.77246294784543,99.85404110145569
2019-10-15,99.39012951660152,98.93194971847532
2019-10-16,99.90126476669307,99.31280394935607
2019-10-17,99.97043278121944,99.4451465702057
2019-10-18,100.05494105148311,99.63721884727478
2019-10-21,100.16975577545162,99.86872865104675
2019-10-22,100.27951058578488,100.11250394630432
2019-10-23,100.38373421096799,100.33125227165222
2019-10-24,100.53040563201901,100.63200724220276
2019-10-25,100.22272504425045,99.95961161994934
2019-10-28,99.82612181091305,99.10773335075379
2019-10-29,99.86753746032711,99.20552136039734
2019-10-30,100.08003508758541,99.66236873435975
2019-10-31,100.20437001037594,99.93295284080506
2019-11-01,100.15693013381954,99.81689372444153
2019-11-04,99.79768918228146,99.03491282844543
2019-11-05,99.54322182464595,98.49152274131775
2019-11-06,99.60281210708614,98.62695886421204
2019-11-07,99.26586865997311,97.89793691062927
2019-11-08,99.13641691207881,97.62223455238342
2019-11-11,98.96061857986446,97.24733868217469
2019-11-12,99.04093741989132,97.41781068992614
2019-11-13,99.41020827102658,98.21306693458557
2019-11-14,99.48622011947629,98.3835686779022
2019-11-15,99.31864973449703,98.46219214630125
2019-11-18,100.0122382316589,99.02599666595457
2019-11-19,100.62810688781734,99.61100302505491
2019-11-20,101.53958473587032,100.24630676841734
2019-11-21,100.4605964889526,99.21211530494688
2019-11-22,100.62456143188473,99.29917276000975
2019-11-25,100.80441940689083,99.70870861816404
2019-11-26,101.76806722640987,100.67071359825133
2019-11-27,101.30664742660518,100.35826033401487
2019-11-29,101.04725260543819,100.20558153724669
2019-12-02,99.40974958419795,98.50508019447325
2019-12-03,101.79628137207027,100.4174549465179
2019-12-04,100.7956863212585,99.74297231101988
2019-12-05,100.4195087356567,99.49055604362486
2019-12-06,99.52714857101437,98.82898890495298
2019-12-09,99.63971782302853,98.81854623603819
2019-12-10,99.58482408142086,98.82741390800474
2019-12-11,101.06047182083127,100.24550269317623
2019-12-12,99.20670378875728,98.9814391326904
2019-12-13,100.64938031005856,100.27854946327206
2019-12-16,100.98657243728634,100.98867825889583
2019-12-17,101.0546901721954,101.13523318099972
2019-12-18,101.19092919349667,101.40929301834103
2019-12-19,101.1503708953857,101.32986151695248
2019-12-20,101.38595609092708,101.84241389083859
2019-12-23,101.06973001670833,101.15694903945919
2019-12-24,101.11482592773434,101.26104371452328
2019-12-26,101.13216315841672,101.30739304161068
2019-12-27,101.22271927833553,101.5092890052795
2019-12-30,101.22595698928829,101.49979837226864
2019-12-31,101.37905409240719,101.81588519859311
2020-01-02,100.95205218315121,100.92665629959103
2020-01-03,100.98492250633237,101.02556668472286
2020-01-06,101.04101486396786,101.13996663665768
2020-01-07,101.00017032241817,101.03408397483823
2020-01-08,101.00338395309444,101.03096039009091
2020-01-09,101.11519799804684,101.28374223518368
2020-01-10,101.19293024444576,101.46727970695491
2020-01-13,101.34897196197507,101.79973567771908
2020-01-14,101.40928232383726,101.94277956390378
2020-01-15,102.36820442771908,102.88388424682616
2020-01-16,102.21769858169552,102.97740368652342
2020-01-17,101.97293343544003,102.81075502014158
2020-01-21,102.9839866466522,103.61165267944335
2020-01-22,103.29711909484861,103.94743056488035
2020-01-23,104.20904531097409,104.79361810302733
2020-01-24,104.96516856384275,105.29571427154544
2020-01-27,106.33260918998717,105.99129987335206
2020-01-28,105.34146298408508,105.37066138458252
2020-01-29,106.97610492134095,106.7233167114258
2020-01-30,107.3035854244232,107.02360040283205
2020-01-31,108.01098385238647,107.22019925689699
2020-02-03,107.9336213092804,107.35109424591066
2020-02-04,106.47835453033447,106.38507734680178
2020-02-05,105.5704368019104,105.89840026092531
2020-02-06,106.54113717651367,107.05777942657473
2020-02-07,107.70723449134826,107.95950431823731
2020-02-10,108.67595508384704,109.06372830200195
2020-02-11,107.91137202453613,108.38061968994141
2020-02-12,107.49567398452757,108.34642810058594
2020-02-13,107.88851590728758,109.20968730545044
2020-02-14,108.05878928565977,109.600672290802
2020-02-18,108.34699469757078,110.24323580169678
2020-02-19,107.95687018203733,109.39805762863159
2020-02-20,108.06582340812682,109.67262982559204
2020-02-21,108.03865481376646,109.64734407043457
2020-02-24,107.6661452732086,108.89020617294311
2020-02-25,106.99279948616027,107.45195567703247
2020-02-26,106.79175487327576,106.97548569488525
2020-02-27,105.55892051506042,104.3357560081482
2020-02-28,104.45262208366394,102.07862869644165
2020-03-02,105.72223865318297,104.83798774337768
2020-03-03,105.46890057182313,104.35582167816162
2020-03-04,106.90981639289853,107.43320412063599
2020-03-05,106.42816470909116,106.5010564956665
2020-03-06,105.94210672569272,105.7959758605957
2020-03-09,104.32834556770325,102.48667529296876
2020-03-10,104.81561523246765,103.11261331558228
2020-03-11,103.963318441391,100.97318948364259
2020-03-12,101.96271479988101,96.66286908531191
2020-03-13,101.75277414894107,98.00558494758607
2020-03-16,102.80274481964115,94.47670784568787
2020-03-17,97.14128183555607,92.14054842567445
2020-03-18,89.356631483078,84.13764727783202
2020-03-19,90.96258708381653,84.8827514247894
2020-03-20,95.9237206935883,88.09738335227966
2020-03-23,101.77261031723026,93.19914569664002
2020-03-24,103.46438564300541,97.36238903617861
2020-03-25,103.17651312065128,96.77819502449036
2020-03-26,106.62164189720157,100.96714398765565
2020-03-27,108.48971982192997,101.78447878837588
2020-03-30,108.79494644355778,102.66674029350283
2020-03-31,107.00417797851566,99.73242494392397
2020-04-01,106.57664350128178,98.4379853115082
2020-04-02,108.66392486572269,101.12638781166079
2020-04-03,108.62530255699161,100.85521560096743
2020-04-06,111.7723613033295,105.90058385658266
2020-04-07,109.5753242206574,103.73455054283144
2020-04-08,109.9104236774445,104.80266941642763
2020-04-09,112.2746368274689,107.77655655479431
