,,riskparity_nested,riskparity,riskparity_pylib
backtrader,start_cash,100000.0,100000.0,100000.0
backtrader,end_value,108514.76553726193,104032.07310676578,103946.94895744327
backtrader,total_return,0.08514765537261937,0.04032073106765788,0.03946948957443275
backtrader,annual_return,0.05614119044133284,0.026774780366198563,0.026213113447343256
backtrader,annual_return_asset,0.056292100914128174,0.026845748865561347,0.02628257423483893
backtrader,max_money_drawdown,19.740800371170067,26.00713548851013,26.06077765083313
backtrader,max_pct_drawdown,0.1829530038604176,0.23797053924428357,0.2384594600110278
backtrader,vwr,0.0553264827416723,0.026633789392793074,0.026078113592585182
backtrader,sharpe_ratio,0.3782632318119788,0.18483251756955216,0.1812310597061932
pyfolio,Annual return,0.056141190441332256,0.02677478036619796,0.02621311344734445
pyfolio,Cumulative returns,0.08514765537261848,0.04032073106765699,0.039469489574434524
pyfolio,Annual volatility,0.1470350535447321,0.15343633543643692,0.15361151364408468
pyfolio,Sharpe ratio,0.4454357476085319,0.24943839814346142,0.24576776378920032
pyfolio,Calmar ratio,0.3068612663182331,0.11251300455605064,0.10992691775001148
pyfolio,Stability,0.5153241657092379,0.21965865691517913,0.2144036070146395
pyfolio,Max drawdown,-0.18295300386041735,-0.23797053924428405,-0.2384594600110282
pyfolio,Omega ratio,1.1417105802608738,1.0781042164729402,1.0769049500863028
pyfolio,Sortino ratio,0.6231943889469073,0.3424553717960315,0.3373124961967667
pyfolio,Skew,-1.1146990902780813,-1.240870846563751,-1.2391466028518552
pyfolio,Kurtosis,28.12437618530508,27.163969386379264,27.096644659542026
pyfolio,Tail ratio,1.205135083674341,1.148040791702941,1.145078818839755
pyfolio,Daily value at risk,-0.01826477602881257,-0.019179284579454458,-0.01920341906833674
