,riskparity_nested,uniform
asset_0,0.06851503384008659,0.1
asset_1,0.07153440591372802,0.1
asset_2,0.14737914638732263,0.2
asset_3,0.44757898629420034,0.2
asset_4,0.1715425847891981,0.2
asset_5,0.09344984277546439,0.2
