,GLD,COM,SP500,US20YB,ITB
1970-06-18,1.0,1.0,1.0,1.0,1.0
1970-06-19,0.994844492788655,0.9989865792509164,1.0140364625479823,1.0117050790768014,1.0060780358097716
1970-06-22,0.9964531441586133,1.0046952740348642,1.003164056413617,1.0504527852799546,1.0103160634843082
1970-06-23,0.9963740605757434,1.0057389376647234,0.9538687449897156,1.0665489791989935,1.0108225579130548
1970-06-24,0.9991095992596757,1.0129647268308088,0.9336336713444136,1.0551659218517164,1.012266616304763
1970-06-25,1.008894574515326,1.0386384698700675,0.9348216512601759,1.0477861480404032,1.0118355332300442
1970-06-26,0.998902556820356,1.041220677896965,0.9208553166785816,1.0600575125249394,1.0161012655273516
1970-06-29,1.0002321682004742,1.0577167746765597,0.9062430218680396,1.113006900180312,1.0194357922350683
1970-06-30,1.0021264633920035,1.058593080171492,0.901943919787539,1.134178763131427,1.0275299228219739
1970-07-01,1.0014825102478193,1.043715658827123,0.907329668113014,1.1732926501462582,1.0347213392811234
1970-07-02,0.9999924887620826,1.046112638481994,0.9067599824124262,1.173807721162987,1.035223809750987
1970-07-03,0.9951210531558157,1.046029613669416,0.9067599824124262,1.2144347089292842,1.035223809750987
1970-07-06,0.9927925787063652,1.042127575315883,0.8783362482301802,1.2331023869141526,1.034765502883906
1970-07-07,0.9915903994168895,1.0435695596462133,0.8648064824448758,1.206242326138463,1.033348311144406
1970-07-08,0.9898277101452813,1.062748528610515,0.9077170640542411,1.1932162912112192,1.0348122139786438
1970-07-09,0.99030996129144,1.0667054182743143,0.9340060715780515,1.1671756770301351,1.0353162081554586
1970-07-10,0.9902313652627661,1.0712477119495913,0.9437688721095225,1.1676897416504197,1.0377449197240647
1970-07-13,0.9909940935392154,1.071355883942202,0.9462294312990092,1.1769652859179767,1.0411432890326677
1970-07-14,0.9909154432143313,1.047894413184236,0.9428541445295024,1.1818825572874199,1.0464915376027288
1970-07-15,0.9899952573538598,1.0564083752368636,0.9633038134074925,1.1912655898481574,1.0528406752792057
1970-07-16,0.9893559413244278,1.0580508474879091,0.9916537982386028,1.1962412802935127,1.0494328278662142
1970-07-17,0.9898379626214402,1.055087564111286,1.0266481541805421,1.1922963988620139,1.0431235876502025
1970-07-20,0.990600387878485,1.0448449313907227,1.0292095828084649,1.1883616348154329,1.0445954207627366
1970-07-21,0.989680494585323,1.0470508241260528,1.0076943555324371,1.1933349890371028,1.0470422159129629
1970-07-22,0.9901625152062445,1.0605236345029025,1.0089233089932554,1.2531488699737243,1.056336497839391
1970-07-23,0.988962569027765,1.066011562237425,1.0342529885734326,1.2442052988283334,1.0499854611182151
1970-07-24,0.9874832830950024,1.055332336547232,1.0293974296710335,1.2400791491441083,1.0456141778534214
1970-07-27,0.9888046042238624,1.0485407562081448,1.0248182885363668,1.2039449623184035,1.0432064160096735
1970-07-28,0.9892863569054925,1.0289729044860922,1.027904321874307,1.2089295612990605,1.044682146951214
1970-07-29,0.9892078421152618,1.038919846799169,1.0349601547733827,1.2094550578624395,1.0471308465853015
1970-07-30,0.9885690345803707,1.0340843511796138,1.0356737036814605,1.2099807828482574,1.0486098709331393
1970-07-31,0.9879304809501831,1.0345712929250617,1.0350609484457545,1.2059869556098126,1.0471695213364194
1970-08-03,0.9884119663624961,1.0422672024309587,1.0076599296102031,1.2020044360756235,1.0457321600613845
1970-08-04,0.9888935277481492,1.0438981117525077,1.012028339695371,1.184652921257034,1.0462399774899709
1970-08-05,0.9896552255517844,1.0329542254832969,1.011685750075485,1.1807253150339414,1.046748041519504
1970-08-06,0.988175895604379,1.033630376530851,1.0089838832712108,1.1724388996535513,1.0462846327271116
1970-08-07,0.9880974689459977,1.0337379297504556,1.014139761191117,1.155520183768543,1.040978707075766
1970-08-10,0.9880190485119543,1.0281577852762767,0.9857136997744577,1.1388271175049856,1.0434228483148815
1970-08-11,0.9851417134844406,1.0328029130415863,0.9758042805095468,1.126597257543933,1.0468421930048362
1970-08-12,0.985063527634164,1.0488274022407715,0.9654307749548072,1.1228879030133814,1.0492967567144056
1970-08-13,0.9863826012198003,1.0533266956779757,0.9484572967518193,1.0821353505528308,1.0459159275042433
1970-08-14,0.9849061842127773,1.0706550382497306,0.9590387948903261,1.0584405945284927,1.0444847213438566
1970-08-17,0.9848280170553001,1.1533213513513,0.9627897021770088,1.0708288482527293,1.0479093766789291
1970-08-18,0.9847498561015656,1.0996148791141598,0.9849520319580821,1.0793159400055397,1.0542716525584979
1970-08-19,0.9846717013510813,1.144441730307646,1.0045212507593566,1.0798099162243635,1.0567385589107796
1970-08-20,0.9859902502520799,1.1345914785593727,1.0274138682900325,1.1047193868834515,1.0611814996848465
1970-08-21,0.98870715014125,1.0988068644330797,1.0642897155938995,1.1684476789270102,1.0705987340583638
1970-08-24,0.9984247889645215,1.0991098934848926,1.1112145123989252,1.177444847454415,1.0730918244435892
1970-08-25,1.0034079844515849,1.1351230318786862,1.1146937598684223,1.177964281706632,1.0735975692467445
1970-08-26,1.0038922196387363,1.1165933895675604,1.117078614986999,1.174087439933525,1.0711107919073173
1970-08-27,1.0190401242655478,1.1318423222264535,1.11341362817939,1.174606237293066,1.0716179044253038
1970-08-28,1.0135614888343631,1.135909675589961,1.1347475978631185,1.1795236000410423,1.0721252570334003
1970-08-31,1.0134810474463603,1.1372076818023462,1.1252312322130553,1.188887994180916,1.0746292569584248
1970-09-01,1.0176500088679465,1.1142998605477656,1.1094063583245137,1.1938555189989737,1.075136496063039
1970-09-02,1.030059229156065,1.1214777431979297,1.1095924617217068,1.1943796170370224,1.0766447131672225
