,uniform,onlystocks,sixtyforty,riskparity
GLD,0.2,0.0,0.0,0.20126399487317648
COM,0.2,0.0,0.0,0.30222209254529986
SP500,0.2,1.0,0.6,0.19117986355508074
US20YB,0.2,0.0,0.2,0.0775292553423758
ITB,0.2,0.0,0.2,0.22780479368406714
