Strategy,StartDate,EndDate,CAGR,Stddev,SharpeRatio,Drawdown,MaxDrawdown
60-40 Portfolio,2017-06-26T00:00:00,2020-06-26T00:00:00,155.54462789168483,505.2301230977954,0.6112068659025499,24.577149170022313,41.871608606865706
Only Stocks Portfolio,2017-06-26T00:00:00,2020-06-26T00:00:00,147.2576572216111,506.90892222766905,0.6244067545080239,56.8824183572645,69.02260895186728
Vanilla Risk Parity Portfolio,2017-06-26T00:00:00,2020-06-26T00:00:00,160.54464534832533,504.8224708545787,0.6110990530863488,7.658437278798153,28.329957903360484
Uniform Portfolio,2017-06-26T00:00:00,2020-06-26T00:00:00,166.14026923553863,504.77676778971573,0.6159943498940542,12.192327656057921,30.18303670557542
Risk Parity,2017-06-26T00:00:00,2020-06-26T00:00:00,161.67974590575892,504.8449434442114,0.6124559676173067,12.357086096348437,28.65647597821605
