,uniform,onlystocks,vanillariskparity,sixtyforty
1928-10-01,101.7094,100.0,101.1111,100.00000000000001
1928-10-02,101.7094,100.0,101.1111,100.00000000000001
1928-10-03,101.7094,100.0,101.1111,100.00000000000001
1928-10-04,101.7094,100.0,101.1111,100.00000000000001
1928-10-05,101.7094,100.0,101.1111,100.00000000000001
1928-10-06,101.7094,100.0,101.1111,100.00000000000001
1928-10-07,101.7094,100.0,101.1111,100.00000000000001
1928-10-08,101.7094,100.0,101.1111,100.00000000000001
1928-10-09,101.7094,100.0,101.1111,100.00000000000001
1928-10-10,101.7094,100.0,101.1111,100.00000000000001
1928-10-11,101.7094,100.0,101.1111,100.00000000000001
1928-10-12,101.7094,100.0,101.1111,100.00000000000001
1928-10-13,101.7094,100.0,101.1111,100.00000000000001
1928-10-14,101.7094,100.0,101.1111,100.00000000000001
1928-10-15,101.7094,100.0,101.1111,100.00000000000001
1928-10-16,101.7094,100.0,101.1111,100.00000000000001
1928-10-17,101.7094,100.0,101.1111,100.00000000000001
1928-10-18,101.7094,100.0,101.1111,100.00000000000001
1928-10-19,101.7094,100.0,101.1111,100.00000000000001
1928-10-20,101.7094,100.0,101.1111,100.00000000000001
1928-10-21,101.7094,100.0,101.1111,100.00000000000001
1928-10-22,101.7094,100.0,101.1111,100.00000000000001
1928-10-23,101.7094,100.0,101.1111,100.00000000000001
1928-10-24,101.7094,100.0,101.1111,100.00000000000001
1928-10-25,101.7094,100.0,101.1111,100.00000000000001
1928-10-26,101.7094,100.0,101.1111,100.00000000000001
1928-10-27,101.7094,100.0,101.1111,100.00000000000001
1928-10-28,101.7094,100.0,101.1111,100.00000000000001
1928-10-29,101.7094,100.0,101.1111,100.00000000000001
1928-10-30,101.7094,100.0,101.1111,100.00000000000001
1928-10-31,101.7094,100.0,101.1111,100.00000000000001
1928-11-01,101.7094,100.0,101.1111,100.00000000000001
1928-11-02,101.7094,100.0,101.1111,100.00000000000001
1928-11-03,101.7094,100.0,101.1111,100.00000000000001
1928-11-04,101.7094,100.0,101.1111,100.00000000000001
