,,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
backtrader,start_cash,100000.0,100000.0,100000.0,100000.0,100000.0
backtrader,end_value,112594.56724548328,118192.59552192679,106261.18478393539,118192.59552192679,113048.82141017908
backtrader,total_return,0.12594567245483268,0.18192595521926846,0.06261184783935425,0.18192595521926846,0.13048821410179112
backtrader,annual_return,0.006260237611729597,0.008832222458531491,0.003200084524950139,0.008832222458531491,0.006473408661322061
backtrader,annual_return_asset,0.006249085565859902,0.008816468620844065,0.0031943925170014875,0.008816468620844065,0.006461875652600257
backtrader,max_money_drawdown,8.049128398895263,3.475235116004953,21.983169380187974,3.475235116004953,9.186981779098545
backtrader,max_pct_drawdown,0.07046160582812858,0.03475235116004953,0.18154225084392145,0.03475235116004953,0.07996286728651354
backtrader,vwr,0.006097179941975743,0.008397131276843236,0.0031764328313052263,0.008397131276843236,0.006293790619450854
backtrader,sharpe_ratio,-0.1827598783738093,-0.06884985481528806,-0.13515596584645098,-0.06884985481528806,-0.13502030415227495
pyfolio,Annual return,0.006260237611729558,0.008832222458531547,0.003200084524950242,0.008832222458531547,0.0064734086613218444
pyfolio,Cumulative returns,0.12594567245483201,0.18192595521926846,0.06261184783935536,0.18192595521926846,0.13048821410178646
pyfolio,Annual volatility,0.019281849350441426,0.015140957850909848,0.043069540730753746,0.015140957850909848,0.023807793091504194
pyfolio,Sharpe ratio,0.33331588723280947,0.5883500543003718,0.09589212048681507,0.5883500543003718,0.28294631829372024
pyfolio,Calmar ratio,0.08884608203508255,0.25414747962965883,0.01762721630956019,0.25414747962965883,0.08095518433733837
pyfolio,Stability,0.46946321708342065,0.275242786456483,0.49242832395287894,0.275242786456483,0.43894352670957315
pyfolio,Max drawdown,-0.07046160582812852,-0.03475235116004995,-0.1815422508439216,-0.03475235116004995,-0.07996286728651375
pyfolio,Omega ratio,1.1260914311234416,1.236414620784086,1.0425392551820374,1.236414620784086,1.1011057778580478
pyfolio,Sortino ratio,0.4524416308267069,0.8711193914784602,0.12259362724159015,0.8711193914784602,0.38918252750902493
pyfolio,Skew,-1.90677014247741,0.2008614818644563,-4.341465994953209,0.2008614818644563,-1.221458460360949
pyfolio,Kurtosis,51.738374907338816,30.736517035544942,131.33755480472206,30.736517035544942,40.88328578604359
pyfolio,Tail ratio,1.1679237165698908,1.434786573418341,1.1640427284210508,1.434786573418341,1.115993799834424
pyfolio,Daily value at risk,-0.0024037809192874295,-0.0018722314509685663,-0.005409863082043781,-0.0018722314509685663,-0.0029727685318368287
