,,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
backtrader,start_cash,100000.0,100000.0,100000.0,100000.0,100000.0
backtrader,end_value,129552.75817298904,127767.14166545864,157626.9399414058,127767.14166545864,127807.21684741986
backtrader,total_return,0.29552758172989013,0.2776714166545864,0.5762693994140582,0.2776714166545864,0.27807216847419847
backtrader,annual_return,0.0276879488013631,0.026184531378397793,0.049172126850605166,0.026184531378397793,0.026218478680169036
backtrader,annual_return_asset,0.04693112268421218,0.04436050356652976,0.08394448894009245,0.04436050356652976,0.0444185201684395
backtrader,max_money_drawdown,12.813414499282828,13.149778741836542,28.977010459899788,13.149778741836542,16.526397510528568
backtrader,max_pct_drawdown,0.10102249611735631,0.10172973622856522,0.18381025434197698,0.10172973622856522,0.13075511955681382
backtrader,vwr,0.024694753675039108,0.023614638836144994,0.03554259368522477,0.023614638836144994,0.023638458284036747
backtrader,sharpe_ratio,0.4420722599612869,0.47369863166063686,0.5384807739853043,0.47369863166063686,0.33299918422706865
pyfolio,Annual return,0.02768794880136305,0.02618453137839749,0.04917212685060579,0.02618453137839749,0.026218478680169133
pyfolio,Cumulative returns,0.2955275817298888,0.2776714166545835,0.576269399414066,0.2776714166545835,0.2780721684742
pyfolio,Annual volatility,0.04120731065349621,0.03485410211794875,0.07607771447811001,0.03485410211794875,0.05190575792356775
pyfolio,Sharpe ratio,0.6834545327727826,0.759090331468451,0.6691623081497234,0.759090331468451,0.5246332107419118
pyfolio,Calmar ratio,0.27407706070931365,0.25739309221805545,0.26751568908185946,0.25739309221805545,0.20051588625389993
pyfolio,Stability,0.6472441763257585,0.7186564027957926,0.7985959507721412,0.7186564027957926,0.528165492403858
pyfolio,Max drawdown,-0.10102249611735625,-0.101729736228565,-0.18381025434197687,-0.101729736228565,-0.13075511955681365
pyfolio,Omega ratio,1.1670950695601077,1.2067892900844222,1.1918509121379957,1.2067892900844222,1.1256206395276698
pyfolio,Sortino ratio,0.9477088188017757,1.0421683110418645,0.9228717650089201,1.0421683110418645,0.7235157743241114
pyfolio,Skew,-1.1242041883611664,-1.5506981924689698,-0.9927448021008776,-1.5506981924689698,-1.012137103666986
pyfolio,Kurtosis,15.670548467806906,22.315469415552894,29.618782442446964,22.315469415552894,14.610850214246891
pyfolio,Tail ratio,1.0883455169092349,1.1409249304059297,1.1421190826436993,1.1409249304059297,1.0522219314173746
pyfolio,Daily value at risk,-0.005079873932514657,-0.0042862143831934735,-0.00938287386849269,-0.0042862143831934735,-0.0064314493670695775
