,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
asset_0,0.2,0.07198923119058459,0.6,0.07198923557866573,0.2
asset_1,0.4,0.6390858848488223,0.2,0.6390858780451886,0.2
asset_2,0.15,0.12037539039886237,0.2,0.12037539242808437,0.2
asset_3,0.13,0.0893640616696904,0.0,0.0893640600597227,0.2
asset_4,0.12,0.07918543189204043,0.0,0.07918543388833861,0.2
