,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
VTI,0.19694208105516717,0.0673815647798024,0.5968175827135073,0.0673815647798024,0.1971823690797743
VGIT,0.39824925054844834,0.6586818511210055,0.20032636890159383,0.6586818511210055,0.1985352708820282
VGLT,0.15044859514412212,0.11343550584470845,0.20164936760666372,0.11343550584470845,0.19942747550338516
PDBC,0.13004647443447245,0.07686999609983519,0.0,0.07686999609983519,0.19945508400975442
IAU,0.12301258583803402,0.08244529634759029,0.0,0.08244529634759029,0.20432046243041133
