,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
GLD_LNG,0.2,0.0,0.12,0.0,0.5505366733475608
OIL_LNG,0.1,0.0,0.065,0.0,0.08003611891562475
EQ_LNG,0.2,1.0,0.2,0.6,0.0
US10YB_LNG,0.2,0.0,0.4,0.2,0.23103189751451167
RE_LNG,0.1,0.0,0.065,0.0,0.0
LTB_LNG,0.2,0.0,0.15,0.2,0.13839531022230278
