,GLD_LNG,OIL_LNG,EQ_LNG,US10YB_LNG,RE_LNG,LTB_LNG
1915-01-01,1.0,1.0,1.0,1.0,1.0,1.0
1916-01-01,1.0,1.7187499999999851,1.0928270071744925,1.0274037799715174,1.1592676341533668,1.0329770818352921
1917-01-01,1.0,2.4375000000000013,0.8352320688385385,1.041849486005979,1.2480560822838753,1.0184510421100443
1918-01-01,1.0,3.0937499999999662,1.0403552326823338,1.0918620466091404,1.3986367370341044,1.0503217085795185
1919-01-01,1.0505529225908228,3.1406249999999507,1.2444755629491053,1.1013497254652664,1.6194497651387616,1.0892097221003847
1920-01-01,1.0889942074775776,4.796874999999798,1.0212512540429202,1.1405677696504708,1.8743235468554926,1.0552838701158842
1921-01-01,1.0837282780410435,2.7031249999998876,1.1652161826341392,1.276447028063057,1.9476549110077674,1.1851717551240328
1922-01-01,1.0879410215902914,2.515624999999927,1.4808287752040514,1.332640686581442,2.09944434252722,1.2652905277140694
1923-01-01,1.1226961558714634,2.093749999999926,1.5314265676615733,1.423904873571886,2.2666066137665624,1.3108160263738193
1924-01-01,1.0895208004212171,2.2343749999998623,1.9183132732463402,1.5092420693411812,2.4183454412632654,1.3958134639636783
1925-01-01,1.086887835702933,2.6249999999998033,2.465863289300876,1.5924271054831014,2.7020310283362323,1.4447972790565988
1926-01-01,1.0863612427592666,2.9374999999998144,2.806255335277765,1.6997623312400851,2.7604374685416952,1.521255685547754
1927-01-01,1.0868878357029308,2.0312499999998748,3.792293138630517,1.7629148620381743,2.8264119199429123,1.5778834772186128
1928-01-01,1.087941021590221,1.8281249999998934,5.212774120713115,1.7828622448529416,3.0465496289344904,1.5998445054409929
1929-01-01,1.0863612427592662,1.9843749999998628,5.037138545802359,1.8895435894348418,3.169063446017572,1.6542392215821062
1930-01-01,1.0874144286465601,1.8593749999998892,3.881421212511731,1.9487546405339689,2.9326698598778096,1.7260893826348107
1931-01-01,0.8983675618745814,1.0156249999999316,2.317341154619471,1.9609166575189074,2.619910510666749,1.6378652386461092
1932-01-01,1.0895208004211743,1.3593749999999134,2.0098266771478133,2.088982558862708,2.2934570299116492,1.9222855592911223
1933-01-01,1.386519220642302,1.0468749999999212,3.067785363797722,2.196480550023249,2.407931214292107,1.9145271449563583
1934-01-01,1.8267509215374234,1.5624999999999234,2.987782940767,2.3300990871174228,2.4250310804834623,2.122763283335159
1935-01-01,1.8346498156922162,1.5156249999999067,4.359065584118461,2.429272198535223,2.8480887260136476,2.2212410413686294
1936-01-01,1.8362295945231473,1.7031249999998719,5.943572539029896,2.489470403957749,3.1433641559762706,2.3783606258912204
1937-01-01,1.8320168509739136,1.8437499999999105,4.117996933833645,2.5810916466592038,3.415384656102497,2.3817137245924633
1938-01-01,1.835176408635825,1.765624999999915,4.932627894309234,2.6921538016651456,3.374952211978798,2.526077600677008
1939-01-01,1.8125329120586895,1.5937499999999232,5.049238476072128,2.795238746022045,3.674181666772078,2.67137840834252
1940-01-01,1.7825171142703815,1.5937499999999232,4.571662943714224,2.9212604144022696,3.628224820217925,2.8379924947190984
1941-01-01,1.7825171142703815,1.7812499999998666,4.111457569459421,2.8657037846291127,3.5628055380157226,2.8704144092453574
1942-01-01,1.7825171142703815,1.8593749999998175,4.745072639418808,2.921315765847163,3.937503926255924,2.9278226961470373
1943-01-01,1.7825171142703815,1.8749999999997977,6.026042908970926,2.9908329283861765,4.665998957833632,2.998090441465381
1944-01-01,1.7825171142703815,1.890624999999827,7.212354502420918,3.092174028969546,5.7373600727137095,3.073042703618969
1945-01-01,1.8278041074246547,1.9062499999998006,9.904599735542137,3.213642376680893,6.726898998488054,3.4048374737101446
1946-01-01,1.8278041074246547,2.2031249999998037,9.053021381892554,3.2730779296902224,8.686879102527326,3.401001037334245
1947-01-01,1.8278041074246547,3.015624999999678,9.495799661202476,3.2973434159499115,10.923711317029637,3.3011486222962474
1948-01-01,1.8278041074246547,4.06249999999957,10.184450501817848,3.4071048434951083,11.586135586847586,3.405384892349436
1949-01-01,1.6687730384409962,3.9687499999996243,11.853922507780279,3.4861496758642043,12.08070336134989,3.6151361253011878
1950-01-01,1.8283307003683162,3.9218749999996496,15.207994991683211,3.4963375548083593,13.04987371754871,3.612464068202837
1951-01-01,1.8283307003683162,3.9531249999997335,19.112022054926133,3.547675020663078,14.43738890762415,3.4778663362782645
1952-01-01,1.8220115850444614,3.9531249999997335,22.4102948662518,3.594927611084646,15.73716884658974,3.516999178155731
1953-01-01,1.8346498156921767,4.187499999999764,22.616841362522543,3.772491407229079,18.256972593310177,3.6436111431190588
1954-01-01,1.8451816745652638,4.34374999999985,33.25577468215413,3.8971493911544095,19.18184700683641,3.8865763884783697
1955-01-01,1.8446550816215856,4.328124999999819,44.70557542677638,3.84362080081784,20.107185852176652,3.839284764123064
1956-01-01,1.8425487098469688,4.35937499999979,47.47442423949608,3.7478198263162947,21.084966373718597,3.6192876489859116
1957-01-01,1.8404423380723722,4.828124999999714,43.05819874529652,4.015370810942357,22.669829413752588,3.8997037577517903
1958-01-01,1.8483412322271486,4.703124999999748,58.97681416646841,3.9239375768514275,24.0697109383884,3.699518975623621
1959-01-01,1.8483412322271486,4.531249999999792,67.13587997627222,3.796018476669446,25.199055624887073,3.604676761373759
1960-01-01,1.8572933122692683,4.499999999999746,66.78349048462542,4.291366086328917,26.57150105746802,4.078254276653572
1961-01-01,1.8562401263819817,4.51562499999962,86.72447670098344,4.371263494812105,28.02067590461731,4.123988986855505
