,GLD,COM,SP500TR,LTB,ITB
1988-01-05,0.0,0.0,0.0,0.0,0.0
1988-01-06,0.0,0.0,0.0,0.0,0.0
1988-01-07,0.0,-0.0026316833930613015,0.0,-0.039533448471946175,-0.0056901059503883245
1988-01-08,0.0,-0.002133535742728232,-0.06764685558338901,-0.034097901407655784,-0.0021999909488810143
1988-01-11,-3.8461538461431743e-05,-0.01629941534332857,-0.05191063465490264,-0.033811439750788264,-0.0010096643995589627
1988-01-12,-0.007309542768567878,-0.024384246219983363,-0.059871100992779036,-0.020073724693419615,0.0
1988-01-13,-0.004248148470837321,-0.02522643832144489,-0.05829955520506014,-0.01978483209078541,0.0
1988-01-14,-0.005319598571171813,-0.007919522479778895,-0.05806786332188851,0.0,0.0
1988-01-15,-0.007630702293177527,-0.008851687240921224,-0.03437303163893313,-0.013809513304167242,-0.0011327676829941957
1988-01-18,-0.017792979355713667,0.0,-0.03506082973663849,,
1988-01-19,-0.014318447051349437,0.0,-0.044857515023832284,,
1988-01-20,-0.013116766742666819,-0.004468336615984669,-0.0705362191842871,0.0,0.0
1988-01-21,-0.014187676724218612,-0.010176647338023703,-0.06862015887036665,0.0,0.0
1988-01-22,-0.01629141890987207,-0.01092344268144474,-0.05575950100420557,0.0,0.0
1988-01-25,-0.016122679184762734,-0.009987024425112123,-0.03375399199707918,-0.023981482347889105,-0.003890130653484536
1988-01-26,-0.02958735787673772,-0.009847934170876593,-0.04358715505548716,0.0,0.0
1988-01-27,-0.03953949770680065,-0.01945270356900708,-0.04435096699245844,0.0,0.0
1988-01-28,-0.03668472945618795,-0.021793418706798073,-0.029426997785314768,0.0,0.0
1988-01-29,-0.054071368964116906,-0.027854045253792536,-0.014925042818674794,0.0,-0.0006782365422995928
1988-02-01,-0.06505408652120093,-0.02930855786583242,-0.022461873180375846,0.0,0.0
1988-02-02,-0.058481194812784465,-0.02527182223070279,-0.02005094261830065,-0.018753608874493066,-0.002528880042460102
1988-02-03,-0.08020187176955584,-0.01299900678691046,-0.03294293665542736,-0.037314128211207276,-0.002280482538957296
1988-02-04,-0.08457397082379359,-0.0075462495139351216,-0.03229150418417448,-0.009659606928281605,0.0
1988-02-05,-0.08791322112940914,-0.0028023647286677944,-0.03634539298989892,-0.02293504368041066,-0.002533412677222402
1988-02-08,-0.08712232287180066,0.0,-0.043344363938273345,-0.019972467678899375,0.0
1988-02-09,-0.09438446786507793,-0.002764694939218937,-0.03316816928667132,-0.005983914512109001,0.0
1988-02-10,-0.08925733199426711,-0.012916106587878784,-0.014118847392388001,-0.01928770144148173,-0.0020736520284535542
1988-02-11,-0.09032471452351498,-0.01515247646083262,-0.016834173605524305,-0.04562413224509243,-0.00782146297866404
1988-02-12,-0.08416581674981582,-0.023280174155095423,-0.009949373460716227,-0.05336899476699786,-0.008499331495997797
1988-02-15,-0.08027839698418604,-0.023317740302243206,,,
1988-02-16,-0.08134600613668086,-0.020893376370083483,,,
1988-02-17,-0.08014270438413107,-0.020051807823225354,-0.003638792578579242,-0.047576304582654494,-0.0075427592897685525
1988-02-18,-0.0766687536128895,-0.03529953198422475,-0.008686829155082898,-0.04468713560604576,-0.0068347199245166745
1988-02-19,-0.08578688983648719,-0.025138398876736523,0.0,-0.03911870850659949,-0.005665223749458992
1988-02-22,-0.08045525556754618,-0.029395693071596396,0.0,-0.017200606933966966,-0.0026440722831234664
1988-02-23,-0.08688925052437091,-0.031982387732673256,-0.002284889684348923,-0.019691081112400366,-0.0023981968123325537
1988-02-24,-0.10054672764267536,-0.03368982755498795,-0.004270245443344423,-0.030179400825277036,-0.0016890932806877812
1988-02-25,-0.1082177999885704,-0.046736536269253226,-0.015016063641180577,-0.021796845079941396,-0.0009798802428004905
1988-02-26,-0.11155423195847602,-0.050113358074517445,-0.01172205891343836,-0.013373633280460928,0.0
1988-02-29,-0.12046254186379035,-0.04593090829416213,0.0,-0.01583313255072072,0.0
1988-03-01,-0.11409898374182503,-0.05326265020640264,-0.00018692895113370245,-0.0073273813781226105,0.0
1988-03-02,-0.11495849456224516,-0.053738506808294284,0.0,-0.004317534836866366,0.0
1988-03-03,-0.11457983165654784,-0.06643039094146119,-0.0004091974050046687,-0.04644358969613416,-0.006677458233787736
1988-03-04,-0.10904261045802177,-0.06251161117969051,-0.0024864452023988237,-0.051729588585789466,-0.007819678158335286
1988-03-07,-0.10061711589818545,-0.06079009739275576,-0.002080007554509322,-0.06186831872216125,-0.008492175586502615
1988-03-08,-0.09962006854309835,-0.05862934140021281,0.0,-0.0616073374348709,-0.006863000466721614
1988-03-09,-0.09944837866615919,-0.05945639421878013,-0.0011809285708554995,-0.06650724773344163,-0.008912861885612688
1988-03-10,-0.08731061076326907,-0.04929983183994335,-0.020567018910847112,-0.053175957275806485,-0.006361289747299659
