,,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
backtrader,start_cash,100000.0,100000.0,100000.0,100000.0,100000.0
backtrader,end_value,111430.22136211375,106729.88249778742,152629.04653167684,130551.72284507703,104660.64025115954
backtrader,total_return,0.11430221362113734,0.0672988249778741,0.5262904653167686,0.30551722845077056,0.04660640251159531
backtrader,annual_return,0.01148172057011237,0.006893897242950861,0.04561230961446628,0.028520969968273503,0.004816644103724407
backtrader,annual_return_asset,0.012402574343430617,0.0074454463019018036,0.049336338764933485,0.030829060397608465,0.0052015726719660815
backtrader,max_money_drawdown,23.03474930286407,16.897265040397556,41.09372405242908,21.23011028861997,29.12813511466983
backtrader,max_pct_drawdown,0.21161410653295648,0.16455913210829085,0.24893282797573366,0.1591718303572634,0.2679657071112275
backtrader,vwr,0.011224697102010541,0.006834920165903183,0.03430068997829557,0.025260894258502357,0.004793780846837862
backtrader,sharpe_ratio,0.05763342183941553,-0.02135016318737924,0.3729510102190305,0.2838305389673497,-0.02037769213386039
pyfolio,Annual return,0.011481720570112763,0.006893897242951308,0.04561230961446627,0.02852096996827358,0.004816644103724954
pyfolio,Cumulative returns,0.1143022136211409,0.06729882497787831,0.526290465316767,0.3055172284507708,0.046606402511600864
pyfolio,Annual volatility,0.07671609399125157,0.05990029368377809,0.10896099409096359,0.07362826240575886,0.0829922269704117
pyfolio,Sharpe ratio,0.18732722296082946,0.1447724779337096,0.46419486723810766,0.41891661506878697,0.0995236728033498
pyfolio,Calmar ratio,0.05425782221340056,0.04189313078301013,0.18323139613756606,0.1791835270365233,0.017974852661746345
pyfolio,Stability,0.10476384391834274,0.047523429221157286,0.8849559237692634,0.773480764547497,0.009974875401367147
pyfolio,Max drawdown,-0.21161410653295656,-0.16455913210829176,-0.24893282797573385,-0.15917183035726326,-0.2679657071112256
pyfolio,Omega ratio,1.0368032676032197,1.0286349001017348,1.0957191249469966,1.0880914057235196,1.018872419770731
pyfolio,Sortino ratio,0.2514634187335713,0.19218688245599566,0.6277732079637712,0.5681158280228179,0.13426528461182158
pyfolio,Skew,-1.3212543817561886,-1.7760908590491282,-1.361813495423066,-1.310122830554439,-0.9701494969719361
pyfolio,Kurtosis,15.922585207905787,24.63990281640664,18.163358851324773,19.14706586538293,10.520496391139266
pyfolio,Tail ratio,1.0298041889638438,1.0304323314000754,0.9977635939707498,0.9807788912021259,1.065809176413444
pyfolio,Daily value at risk,-0.009608291516831409,-0.007512315288168894,-0.013527084053439003,-0.009153891900940132,-0.010423261224362766
