,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
2011-09-20,0.0,0.0,1.4210854715202002e-16,0.0,0.0
2011-09-21,-0.02584977759635112,-0.01032517820726442,-0.027085784454621897,-0.021034570449867424,-0.022411237376980853
2011-09-22,-0.03206492798361551,-0.013480148385366639,-0.029410656308669618,-0.026475947170178243,-0.028153665878863345
2011-09-23,-0.00040284829154786314,-0.003630119447016413,0.0080116688904762,-0.007256411115741377,0.002454846769305065
2011-09-26,0.006563750199260166,0.0008312905512060475,0.010501672579183352,0.004080389820951972,0.008207015772952674
2011-09-27,0.016031649793444597,0.007036025959714343,0.013423181907772946,0.014101335801791721,0.012907305142263223
2011-09-28,-0.019443676741144517,-0.010752148911802492,-0.016184311074449325,-0.01852687462599065,-0.017197120614527477
2011-09-29,0.009140479918416414,0.00393119950562571,0.008684882169214377,0.007951902832953031,0.008396906237238416
2011-09-30,-0.02195464775664916,-0.007141665572568434,-0.023120034506138098,-0.016346744788947206,-0.023136207298946065
2011-10-03,-0.015810413376684835,-0.0032150446738512042,-0.021161334107466033,-0.010141251118104846,-0.01610661915710772
2011-10-04,0.0032506126761076676,-0.0037360713575352376,0.010610528847875068,-0.0004215242938639408,0.006343465146416364
2011-10-05,0.014567105054477152,0.006614164270875247,0.010526796361494749,0.012590863977218043,0.010728818257274295
2011-10-06,0.01682543644696756,0.006541618604902949,0.01724900297128899,0.013018050280100023,0.01613973834252722
2011-10-07,-0.004333422874505159,-0.0005144721934455467,-0.0058349127684410055,-0.0025458181424129304,-0.004246468348374765
2011-10-10,0.02537626965050058,0.009568725423083499,0.025432998749823552,0.020890396152727017,0.022015975232617075
2011-10-11,-0.0008967638854967952,0.0007009977604151031,-0.0021121747640740927,-0.0005300804111837866,0.0003654775729737473
2011-10-12,0.010876630846221312,0.003994228410505579,0.013116693344806779,0.008809262410206463,0.009686588252565477
2011-10-13,-0.0017365559857752454,-0.0004467761410539105,-0.0014142418849055639,-0.0018088161217457866,-0.0005967344135776359
2011-10-14,0.012171186895816755,0.004696269747785883,0.01108975067519351,0.00995138294587555,0.012149669929689676
2011-10-17,-0.014229311603532925,-0.0043902753354707865,-0.015169261008949459,-0.011322668767034725,-0.013518416044408373
2011-10-18,0.008619781790736542,0.0015018623462571368,0.012200575777207203,0.00567816168147772,0.009362685415070834
2011-10-19,-0.008097711476111477,-0.0032875379230819213,-0.010036373291645475,-0.010379124878053543,-0.010683833307927833
2011-10-20,-0.00402069568696558,-0.002393672025014686,-0.0028151668603744974,-0.004234426224858147,-0.004292041067950582
2011-10-21,0.0086650056864778,0.00376492104058932,0.016248169748607117,0.011668032557608033,0.009719372693470407
2011-10-24,0.01047672354910429,0.005304905179571979,0.015371471052897101,0.011520819063132572,0.011225994687317362
2011-10-25,6.857460967314949e-05,0.002802762974622331,-0.010988312694745412,-9.069368403765702e-05,0.0026391872116891864
2011-10-26,0.003841728954208191,0.0013358676195356317,0.00803692596091396,0.006444044508621842,0.004386113807356232
2011-10-27,0.02007487050821567,0.008768742491645847,0.033220741090339026,0.024689043631904307,0.02171052944448123
2011-10-28,0.0004759331047400725,0.001686279565216879,-0.00024342639186355315,-0.00018050831400597092,-0.0002992451144007909
2011-10-31,-0.015039053727175393,-0.0075557957942595675,-0.024208106756105345,-0.02054830254311559,-0.017206902437656088
2011-11-01,-0.009543054634386176,-0.0022448585609616367,-0.01907263428393629,-0.012901227991485744,-0.010127871746723447
2011-11-02,0.0059083745878603594,0.002440956946796381,0.011132800481169014,0.00820812823478537,0.00744944437340917
2011-11-03,0.009332352342125379,0.0042754891988956035,0.011702149970272302,0.01156569628680315,0.010690989953621497
2011-11-04,-0.0027705317573832955,-0.0012633825652384023,-0.0055230843060514526,-0.0043212522501024,-0.0028129164929567045
2011-11-07,0.00586345637028657,0.0035685667325629916,0.003244550142148096,0.007949609063040932,0.009090982058791174
2011-11-08,0.004013790031814482,0.0012175155478874656,0.008367289038752225,0.0047517072427220005,0.0032456104876318896
2011-11-09,-0.020938307086568714,-0.011107585532417582,-0.03519324890516312,-0.025463887158223866,-0.02173450794961403
2011-11-10,0.0009200854863486271,8.402501570567768e-05,0.00373583180988621,0.0013038254999075901,0.0003138047648283482
2011-11-11,0.010793071379350181,0.005832156149132197,0.015550284435445585,0.013650329692952354,0.012064180113212237
2011-11-14,-0.008210333969238674,-0.004587115863443943,-0.010996630695479577,-0.009056915673185886,-0.008237799703936257
2011-11-15,-0.0005155911770707941,-0.0018450349855750087,0.00022889286935155143,-0.001105179121258774,0.000370803800642658
2011-11-16,-0.007581252028743958,-0.010380041602553255,-0.014150304050916258,-0.01187017847399877,-0.008997165125709538
2011-11-17,-0.00933481405274119,-0.012691984286315742,-0.010696409706640965,-0.012837802275884375,-0.013394174430852364
2011-11-18,0.001618622494691803,0.001916669662592061,0.0023535189632535956,0.002380798322028678,0.0017342557701838551
2011-11-21,-0.01255712556361875,-0.013650666548424235,-0.018136175602190673,-0.016870603406935063,-0.014258265089764173
2011-11-22,0.0016957525784040486,0.003374748666105711,-0.0007601510314362881,0.0019913371767355395,0.0030966830181116405
2011-11-23,-0.012741264065224108,-0.01157155090892006,-0.019964344096443664,-0.01567373309004172,-0.01263220275312926
2011-11-25,-0.005931711881984025,-0.00857373174043553,-0.0038140150796097953,-0.006788404807972267,-0.0068270203388836465
2011-11-28,0.011113262399855136,0.012439942789927175,0.020341403305020114,0.0161580343253872,0.0135568662901335
2011-11-29,0.003840852794383614,0.004294561282992022,0.00177005083253702,0.0038977922680868216,0.004292138178085532
