,GLD_LNG,OIL_LNG,EQ_LNG,LTB_LNG,RE_LNG
1960-01-01,1.0,1.0,1.0,1.0,1.0
1961-01-01,0.9894882032735238,0.9934874463139138,1.2856834210655619,1.0011527802329616,1.0440478470697871
1962-01-01,0.9790865892218105,0.9870054879199287,1.1492162958256726,1.0672156987199737,1.0971782406771062
1963-01-01,0.9654921062584151,0.9738146903772812,1.3886343892496733,1.0499948640315484,1.152604181469104
1964-01-01,0.9561575299840014,0.9607886765975375,1.6026344725184263,1.0917960258193051,1.2170108261708936
1965-01-01,0.9471828351369078,0.9446224662191046,1.7849374959375464,1.075666224776333,1.282780021385692
1966-01-01,0.9380250483693077,0.9417634123962491,1.622105897770749,1.1118232251934057,1.3565654612392846
1967-01-01,0.9239327178335264,0.9453429384928071,1.9394946287469133,1.0444498873733707,1.432044017821733
1968-01-01,1.0288574455167296,0.9423472121622312,2.20773384517119,1.0328251150837313,1.5343579705993164
1969-01-01,1.0696696195245508,0.9805729883131981,1.9347527901917998,0.9659381430957495,1.7011662577236533
1970-01-01,0.9240772966968815,0.9990932618452673,1.959233081095459,1.092082433520097,1.9115034847927348
1971-01-01,1.0317240417822102,1.0544759504843744,2.202329955760313,1.2754614178043961,2.0979917274185196
