,sixtyforty,riskparity
2018-01-04,0.0,0.0
2018-01-05,-0.0005707632068767971,0.0
2018-01-08,-0.00012687801358000203,0.0
2018-01-09,-0.002671234108912576,0.0
2018-01-10,-0.00023856936299207344,0.0
2018-01-11,0.0008103962320690164,0.0
2018-01-12,0.00033362280880517783,0.0
2018-01-16,0.0008253895731236758,0.0
2018-01-17,-0.00026988332378440944,0.0
2018-01-18,-0.0018451568226707064,0.0
2018-01-19,-0.00103499296455264,0.0
2018-01-22,0.00019103357562869208,0.0
2018-01-23,0.09198537120033552,0.09090909090909091
2018-01-24,-0.0009694739935969925,0.0
2018-01-25,0.0014593108995896171,0.0
2018-01-26,-0.0006650463584434359,0.0
2018-01-29,-0.0012449183137623384,0.0
2018-01-30,-0.0010433667279589093,0.0
2018-01-31,0.0010422792484698139,0.0
2018-02-01,-0.002581463740501171,0.0
2018-02-02,-0.001631570580206967,0.0
2018-02-05,0.0016433981178553758,0.0
2018-02-06,0.009353723896658724,0.0
2018-02-07,-0.004593089617982345,0.0
2018-02-08,-0.02085227854382857,0.0
2018-02-09,0.0068088576537083875,0.0
2018-02-12,0.008537756974171602,0.0
2018-02-13,0.0021039066204511887,0.0
2018-02-14,0.005314480389115893,0.0
2018-02-15,0.008243442712095593,0.008012863010194991
2018-02-16,0.0012494266720066002,0.0028341967495604213
2018-02-20,-0.004652886343979111,-0.005348904954208321
2018-02-21,0.07840404789826004,0.07561052454538662
2018-02-22,0.0012543480838356769,0.0019586696245778765
2018-02-23,0.010268239137802879,0.011255822281809663
2018-02-26,0.0064380383236508285,0.005490666960073921
2018-02-27,-0.007248104181238231,-0.006498849137791694
2018-02-28,-0.004465277350370597,-0.001793980631401776
2018-03-01,-0.006783690077656798,-0.0035462073823038735
2018-03-02,0.001298315860497539,-0.0014320229064864153
2018-03-05,0.005793094945406447,0.004012353746627041
2018-03-06,0.0015626650331987935,0.0015886024408430332
2018-03-07,-0.0004026103596579876,-0.0006716669867607328
2018-03-08,0.0037018953647000494,0.004834691118774194
2018-03-09,0.008327378965669097,0.0049800978349242835
2018-03-12,0.0003388829260252526,0.002016623731607725
2018-03-13,-0.002682491815460201,-0.000707301339008005
2018-03-14,-0.0012359898374945332,0.0016458821030115676
2018-03-15,-0.000600993699092731,-0.0004998756131315828
2018-03-16,-6.119168107732604e-05,-0.0011478546111335476
2018-03-19,-0.008111002856736424,-0.007727870345801593
2018-03-20,0.00019168726111287512,-0.001075482408036451
2018-03-21,0.07570086495273214,0.07589276305716779
2018-03-22,-0.011107251466428748,-0.006387517462673378
2018-03-23,-0.01089717688515578,-0.00923994505025926
2018-03-26,0.012690200061744674,0.009441130458610314
2018-03-27,-0.0067313251627267355,-0.0024980489947966744
2018-03-28,-0.001003278400236957,-6.161092297997926e-05
2018-03-29,0.007133017437347204,0.007298816629275069
2018-04-02,-0.012697102179706685,-0.009901609180786938
2018-04-03,0.006009243396284591,0.002425158489084376
2018-04-04,0.005945338728170057,0.0042864970647279715
2018-04-05,0.0032492952227101803,0.0002546210821533025
2018-04-06,-0.011426743243774375,-0.005916096482745044
2018-04-09,0.003260440201519872,0.0032713257833676046
2018-04-10,0.00905433917502829,0.006969540340183732
2018-04-11,-0.0024555692042645735,-0.000873341953780482
2018-04-12,0.003462958359972223,0.0004653393465619203
2018-04-13,-0.0013118067373487157,-0.0003312167481522549
2018-04-16,0.0049873482172376775,0.004284150957432216
2018-04-17,0.006946254303780116,0.006709483192928893
2018-04-18,-0.0011214113562891992,-0.003575778554064389
2018-04-19,-0.00497817175045527,-0.006866390601017224
2018-04-20,-0.0065857487442545935,-0.007916116971056401
2018-04-23,0.07148335877607204,0.07139776891336774
2018-04-24,-0.008461320899753254,-0.008520147763043606
2018-04-25,0.0001705163889814743,-0.0018990655116355088
2018-04-26,0.006906664319889272,0.007926729861241674
2018-04-27,0.0019097845075759824,0.003932463580302876
2018-04-30,-0.004016633792509212,-0.0028373524153317647
2018-05-01,0.0003397052223288317,-0.0008144132112690527
2018-05-02,-0.003979010653977129,-0.0036822251735105184
2018-05-03,-0.00041828942817798565,0.001014673285447878
2018-05-04,0.007442839590106735,0.006716752085562738
2018-05-07,0.0016055058411699567,0.0008644941473331744
2018-05-08,-0.00016739755229301862,-0.0004223247950284166
2018-05-09,0.004332574174171349,0.0018408292322465943
2018-05-10,0.006677137799449094,0.008031465225814672
2018-05-11,0.0021750237471612156,0.002589400439431671
2018-05-14,-0.0007714334850810616,-0.0024093150108581143
2018-05-15,-0.0064306264000510175,-0.009207075285555111
2018-05-16,0.0017545426732803562,0.0002018089779821107
2018-05-17,-0.0015035732913127266,-0.002936402816637219
2018-05-18,0.0001864387635715535,0.002981812270084585
2018-05-21,0.00458300056728192,0.004014304955371749
2018-05-22,0.0642492225084474,0.06424181219529342
2018-05-23,0.0028698549633014527,0.0046318158688285795
2018-05-24,0.00032509555017092094,0.0027287482571692555
2018-05-25,-0.00017261553708660673,0.0017870311433061626
2018-05-29,-0.0023154409717766286,0.0048860350012930875
2018-05-30,0.006050801241651728,0.0029025603229286736
2018-05-31,-0.0037363050433327494,-0.0036226443778274624
2018-06-01,0.004428802406876621,0.0020260562672413307
2018-06-04,0.0012907134619213872,-0.0011868606411513435
2018-06-05,0.0008442085852514261,0.0014317493375104863
2018-06-06,0.003159796641496308,0.00012316864932943633
2018-06-07,0.0017249059663537113,0.004413886952096579
2018-06-08,0.0011013726406113604,-1.1265904085987023e-05
2018-06-11,0.0004074243738844449,-0.0002287247385878913
