,,uniform,onlystocks,vanillariskparity,sixtyforty
backtrader,start_cash,100000.0,100000.0,100000.0,100000.0
backtrader,end_value,140128.20178375606,95065.96717063314,131002.61038278791,125113.46164636902
backtrader,total_return,0.40128201783756023,-0.04934032829366874,0.31002610382787954,0.25113461646369095
backtrader,annual_return,0.32857491706856573,0.29927279864926476,0.3234421449225296,0.3199476597506377
backtrader,annual_return_asset,0.029746597287922283,-0.004386482789723645,0.023739505539408068,0.019656577319731916
backtrader,max_money_drawdown,1896.8491531950822,5786.040515253962,1562.2727451892497,3364.984355004164
backtrader,max_pct_drawdown,0.18649693668383474,0.5786040515253963,0.15451050826163,0.33649843550041636
backtrader,vwr,-18.789146042484468,-17.124027333556995,-18.497775651916527,-18.299219136380795
backtrader,sharpe_ratio,0.24027138788081015,0.24031760801345933,0.2400798188774905,0.2402648704812696
pyfolio,Annual return,0.3285749170685659,0.2992727986492647,0.32344214492252976,0.3199476597506379
pyfolio,Cumulative returns,139.12820178375614,94.06596717063317,130.00261038278794,124.1134616463691
pyfolio,Annual volatility,23.735675275477202,23.736735633988893,23.735649663132772,23.73596763941772
pyfolio,Sharpe ratio,0.24066320552618353,0.2407094016596909,0.24047165882514918,0.2406566837062619
pyfolio,Calmar ratio,1.7618247404545493,0.517232462960258,2.0933342887905773,0.9508147022283616
pyfolio,Stability,0.7605368091507869,0.2532695452283831,0.7575992281246557,0.5512428667463757
pyfolio,Max drawdown,-0.18649693668383488,-0.5786040515253962,-0.15451050826162996,-0.3364984355004163
pyfolio,Omega ratio,303.92349979748707,87.09387351758737,367.18389271253,174.11576091063887
pyfolio,Sortino ratio,176.69496222324088,42.6808904737471,217.20859873549145,78.90128532553565
pyfolio,Skew,66.18831272740451,66.17944078744037,66.1885632295718,66.18586918457729
pyfolio,Kurtosis,4378.928555840023,4378.144673998805,4378.950668727498,4378.712725134467
pyfolio,Tail ratio,,,,
pyfolio,Daily value at risk,-2.9677461271906402,-2.967874355779463,-2.967760966407357,-2.9677832966660795
