,,sixtyforty,riskparity
backtrader,start_cash,100000.0,100000.0
backtrader,end_value,387336.15882110584,396987.7062835691
backtrader,total_return,2.873361588211058,2.969877062835691
backtrader,annual_return,0.0876683905844,0.10772620427381716
backtrader,annual_return_asset,0.9745113676381081,0.9990786307765502
backtrader,max_money_drawdown,11.461623085660818,9.060050091455864
backtrader,max_pct_drawdown,0.10794172139645708,0.0850884042724502
backtrader,vwr,-0.10867205449556934,-0.12890550378549023
backtrader,sharpe_ratio,1.0056476941787043,1.4298464846549535
pyfolio,Annual return,0.9707366861401203,0.9951875897977509
pyfolio,Cumulative returns,2.8733615882110626,2.969877062835689
pyfolio,Annual volatility,0.19839210231953158,0.19113820479411464
pyfolio,Sharpe ratio,3.519657753942937,3.710682090189117
pyfolio,Calmar ratio,16.197116307194555,24.34656471519716
pyfolio,Stability,0.9833255843245345,0.9872112194010151
pyfolio,Max drawdown,-0.05993268602442098,-0.04087589363999897
pyfolio,Omega ratio,2.875832795169455,3.1751282987708978
pyfolio,Sortino ratio,13.136636458930411,16.470373551062035
pyfolio,Skew,4.119572311911308,4.432017613622579
pyfolio,Kurtosis,21.47506898845754,23.75286775761369
pyfolio,Tail ratio,1.8917813583729295,1.6646806346361596
pyfolio,Daily value at risk,-0.02222413363710775,-0.021266653801040918
