,uniform,onlystocks,vanillariskparity,sixtyforty
GLD_LNG,0.2,0.0,0.12,0.0
OIL_LNG,0.2,0.0,0.13,0.0
EQ_LNG,0.2,1.0,0.2,0.6
LTB_LNG,0.2,0.0,0.15,0.2
ITB_LNG,0.2,0.0,0.4,0.2
