,uniform,onlystocks,sixtyforty,riskparity_nested
2006-02-07,100000.0,100000.0,100000.0,100000.0
2006-02-08,100000.0,100000.0,100000.0,100000.0
2006-02-09,100000.0,100000.0,100000.0,100000.0
2006-02-10,100000.0,100000.0,100000.0,100000.0
2006-02-13,100000.0,100000.0,100000.0,100000.0
2006-02-14,100000.0,100000.0,100000.0,100000.0
2006-02-15,100000.0,100000.0,100000.0,100000.0
2006-02-16,100000.0,100000.0,100000.0,100000.0
2006-02-17,100000.0,100000.0,100000.0,100000.0
2006-02-21,100000.0,100000.0,100000.0,100000.0
2006-02-22,100000.0,100000.0,100000.0,100000.0
2006-02-23,100000.0,100000.0,100000.0,100000.0
2006-02-24,100000.0,100000.0,100000.0,100000.0
2006-02-27,100000.0,100000.0,100000.0,100000.0
2006-02-28,100000.0,100000.0,100000.0,100000.0
2006-03-01,100000.0,100000.0,100000.0,100000.0
2006-03-02,100000.0,100000.0,100000.0,100000.0
2006-03-03,100000.0,100000.0,100000.0,100000.0
2006-03-06,100000.0,100000.0,100000.0,100000.0
2006-03-07,100000.0,100000.0,100000.0,100000.0
2006-03-08,100000.0,100000.0,100000.0,100000.0
2006-03-09,100000.0,100000.0,100000.0,100000.0
2006-03-10,100000.0,100000.0,100000.0,100000.0
2006-03-13,100000.0,100000.0,100000.0,100000.0
2006-03-14,100000.0,100000.0,100000.0,100000.0
2006-03-15,100000.0,100000.0,100000.0,100000.0
2006-03-16,100567.02254104614,100206.33855438232,100431.43140411377,100000.0
2006-03-17,100329.93599700928,100289.97149658203,100379.07077789307,100000.0
2006-03-20,100033.77327728271,100128.8526687622,100353.12006378174,100000.0
2006-03-21,99558.0682106018,99499.69396972656,99788.94599151611,100000.0
2006-03-22,99746.73635101318,100105.82672119138,100219.73585510252,100000.0
2006-03-23,99728.11431503296,99898.66384887692,99981.0137901306,100000.0
2006-03-24,100303.62700271606,99975.3882217407,100261.82030487059,100000.0
2006-03-27,100396.98424911499,99829.60955810544,100055.85976028441,100000.0
2006-03-28,99958.48706817627,99215.79887390134,99402.54650878905,100000.0
2006-03-29,100461.35861968994,99837.27964019772,99660.63819122313,100000.0
2006-03-30,100821.03099822998,99660.81279754636,99358.30886459349,100000.0
2006-03-31,100507.660987854,99683.80734252927,99379.89821243285,100000.0
2006-04-03,100670.47116851807,99607.1143722534,99318.29703140257,100000.0
2006-04-04,100775.56248474121,100243.94315338133,99682.15760040282,100000.0
2006-04-05,101195.44582366943,100589.16750335692,99962.84617996214,100000.0
2006-04-06,101255.74743270874,100481.75495147704,99692.27264785765,100000.0
2006-04-07,100337.0608215332,99461.33570861815,98799.16799545285,100000.0
2006-04-10,100984.43388366699,99614.8158569336,98951.97109222412,100000.0
2006-04-11,100641.51300048828,98770.8242034912,98550.72924804685,100000.0
2006-04-12,100665.94382095335,98954.9454269409,98496.53836059567,100000.0
2006-04-13,100449.13127517699,98824.53047943114,98176.97156143186,100000.0
2006-04-17,101270.00974273682,98786.18006896971,98300.14877319334,100000.0
