,GLD,COM,SP500TR,ITB
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
2020-01-01,1.0,1.0,,
1988-01-05,0.4033438931691988,1.5963979919276257,,
1988-01-06,0.4133222419827478,1.609462640699973,,
1988-01-07,0.416896499929916,1.6009914484934078,,
1988-01-08,0.4175542286931894,1.6025907175196856,,
1988-01-11,0.4175221091371361,1.5570894245780074,,
1988-01-12,0.4114502012604148,1.5314946351595693,,
1988-01-13,0.4139879738173338,1.5288505354099196,,
1988-01-14,0.4130970541461272,1.583139425857998,,
1988-01-15,0.4111774221959746,1.5801643712768443,,
1988-01-18,0.4027561643116958,1.625080426496199,,
1988-01-19,0.4056056436460318,1.6370947494180992,,
1988-01-20,0.40659462089451925,1.6224645685927779,,
1988-01-21,0.4057121938286056,1.603858366030531,,
1988-01-22,0.4039805988033882,1.6014382292333194,,
1988-01-25,0.40411919183083933,1.6044705849860594,,
1988-01-26,0.39305818868310105,1.6049214199288029,,
1988-01-27,0.3849961130560429,1.5737849901368224,,
1988-01-28,0.3872847541350617,1.566271263132628,,
1988-01-29,0.37330474029543476,1.5468631230144398,,
1988-02-01,0.3646362205131428,1.5422343285200755,,
1988-02-02,0.36976317888762533,1.555061457721852,,
1988-02-03,0.35270243296332066,1.594221056694464,,
1988-02-04,0.3493494146732031,1.6118358322041046,,
1988-02-05,0.3468007321963372,1.6272448393784888,,
1988-02-08,0.3474021751756359,1.6589102594223872,,
1988-02-09,0.34187485200777823,1.6497374978247006,,
1988-02-10,0.3457458960763908,1.6161503105928408,,
1988-02-11,0.34493547367718735,1.6088271035404376,,
1988-02-12,0.34960620037454393,1.5822726166226602,,
1988-02-15,0.3525741307671388,1.5821509033444585,,
1988-02-16,0.35175559748988255,1.5900054733383666,,
1988-02-17,0.35267709378719625,1.5927387785032987,,
1988-02-18,0.355340947991105,1.5431736244491865,,
1988-02-19,0.34832277941447953,1.5756819379120062,,
1988-02-22,0.35238557319140706,1.5619196940006885,,
1988-02-23,0.3474543351749892,1.5535945520150973,,
1988-02-24,0.3370605255850063,1.5481139302325477,,
1988-02-25,0.3313112204100271,1.5063099793269397,,
1988-02-26,0.32883214570378094,1.4956381334475828,,
1988-02-29,0.32223784638663483,1.508809034282757,,
1988-03-01,0.3269007046779089,1.4856195220547919,,
1988-03-02,0.3262663794255,1.484126094426479,,
1988-03-03,0.32654556401629165,1.4443139355993535,,
1988-03-04,0.3306298509661552,1.4564393264980096,,
1988-03-07,0.336883169123305,1.4617882575574226,,
1988-03-08,0.3376301001105078,1.4685142678530507,,
1988-03-09,0.33775886279904327,1.4659339051590603,,
1988-03-10,0.3468635905829469,1.4975939984486917,,
1988-03-11,0.3458960491193276,1.524883938623183,,
1988-03-14,0.3466523662422949,1.4937634129721147,,
1988-03-15,0.3464689507926663,1.4950305985947219,,
1988-03-16,0.35271039432890067,1.5231211120195203,,
1988-03-17,0.35157659635028893,1.5458891400958308,,
1988-03-18,0.34744585210666395,1.5640448084521557,,
1988-03-21,0.3574604596795926,1.5650556090891787,,
1988-03-22,0.35520529905077314,1.60085823887579,,
1988-03-23,0.3577157227351579,1.6402094883161564,,
1988-03-24,0.3648504786763993,1.6502161101816688,,
1988-03-25,0.36128641742638085,1.669544472149401,,
1988-03-28,0.3646171984370539,1.6737969023089818,,
1988-03-29,0.36619574800117227,1.671913644610642,,
1988-03-30,0.364396573061862,1.6814290055020562,,
1988-03-31,0.36950767448130994,1.6599063197284283,,
1988-04-01,0.36947925081404215,1.6597786346269108,,
1988-04-04,0.3694508293332103,1.6547016106736403,,
1988-04-05,0.3639251110463796,1.6348080177172644,,
1988-04-06,0.3579600669355003,1.6378602942157285,,
1988-04-07,0.3536360559701599,1.6605787546874409,,
1988-04-08,0.35708827771869156,1.6703501460550152,,
1988-04-11,0.3561073026400537,1.7572357898301916,,
1988-04-12,0.35925377164798217,1.771171677071508,,
1988-04-13,0.35699474685645843,1.7533026774630194,,
1988-04-14,0.3585560473903378,1.7705109572192395,,
1988-04-15,0.3679222524774285,1.7757831980491574,,
1988-04-18,0.3706354271155203,1.7967098584898753,,
1988-04-19,0.3688265718516433,1.7666088308712775,,
1988-04-20,0.36960543754745173,1.7541693941326777,,
1988-04-21,0.36456705071326206,1.782739863605721,,
1988-04-22,0.3553907253899676,1.7807942186226018,,
1988-04-25,0.3578984975866843,1.7755361143104218,,
1988-04-26,0.35278311623432373,1.7991615798457312,,
1988-04-27,0.3579648572978151,1.7947845185827285,,
1988-04-28,0.36079913252395435,1.7562440264501196,,
1988-04-29,0.3558234587674258,1.7596979853057442,,
1988-05-02,0.355796087732136,1.6745414895522641,,
1988-05-03,0.3508557215997732,1.710612669028368,,
1988-05-04,0.34673712078441166,1.7034002445186986,,
1988-05-05,0.34921340107020316,1.7327092456096524,,
1988-05-06,0.34588985096550046,1.770876078974576,,
1988-05-09,0.34836289970675494,1.780944041567091,,
1988-05-10,0.3519420191642489,1.7838166682485495,,
1988-05-11,0.35569672796827995,1.8032570089369562,,
1988-05-12,0.35867904730115124,1.801907041101873,,
1988-05-13,0.35626556493801337,1.8205351448700113,,
1988-05-16,0.36226178234957085,1.8559904599800556,,
1988-05-17,0.364471579836646,1.8546190672646936,,
1988-05-18,0.36332135264029025,1.8468006362466713,,
1988-05-19,0.3695354897571365,1.857994278630921,,
1988-05-20,0.3646649304308113,1.8689135893573243,,
1988-05-23,0.3684847396166053,1.8206948791373245,,
1988-05-24,0.36845639463663477,1.8351532311304333,,
1988-05-25,0.3629491463405918,1.8099754520786386,,
1988-05-26,0.3619616788705566,1.8292412703428667,,
1988-05-27,0.3598577263217509,1.8306245462045212,,
1988-05-30,0.3598300449581877,1.830483728931736,,
1988-05-31,0.3653749549157905,1.8800379337861652,,
1988-06-01,0.36743241420552947,1.8873078106624108,,
1988-06-02,0.3624171077742054,1.9054244061322172,,
1988-06-03,0.3799629045870139,1.9034119061132004,,
1988-06-06,0.3797701462625883,1.91600877657802,,
1988-06-07,0.37941396791719284,1.9258397916212273,,
1988-06-08,0.3687638055199381,1.8791126177229218,,
1988-06-09,0.36486982154443265,1.8508709216972674,,
1988-06-10,0.36820608668884075,1.8262157295727264,,
1988-06-13,0.35433784904614074,1.7941191391815157,,
1988-06-14,0.350364736508498,1.829875578161312,,
1988-06-15,0.3589693914255217,1.812677301667991,,
1988-06-16,0.3619596626596087,1.8404275399676902,,
1988-06-17,0.35619022548845614,1.8421186074434235,,
1988-06-20,0.362332676915025,1.8444214525592382,,
1988-06-21,0.3583161143195349,1.8610956833752337,,
1988-06-22,0.3532116794324888,1.869244532639306,,
1988-06-23,0.35208195333628833,1.8404780819597446,,
1988-06-24,0.3449786361206616,1.808577800811966,,
1988-06-27,0.3449520993024984,1.8614095773744055,,
1988-06-28,0.345859339664729,1.8210445933194452,,
1988-06-29,0.32978249316030295,1.7622982754289012,,
1988-06-30,0.3343205361594283,1.7711227933829627,,
1988-07-01,0.33475426106797973,1.7778728390691625,,
1988-07-04,0.33580119548613147,1.7777360796200035,,
1988-07-05,0.3356218905867838,1.7919963834699089,,
1988-07-06,0.3345220834683995,1.8382318266304472,,
1988-07-07,0.3407762985380797,1.8685853118171216,,
1988-07-08,0.33843135307460287,1.8401576243888382,,
1988-07-11,0.3344002151234835,1.748801363972724,,
1988-07-12,0.329781082481613,1.7736390999619338,,
1988-07-13,0.33158022968518885,1.7429665554252671,,
1988-07-14,0.34039686297194643,1.7903126290050522,,
1988-07-15,0.3377451129578884,1.7964899483773855,,
1988-07-18,0.3324887368275908,1.8427399949465366,,
1988-07-19,0.33337889748009947,1.8175850559155255,,
1988-07-20,0.34634303350685086,1.8256243744320753,,
1988-07-21,0.3463163917350427,1.890755288009373,,
1988-07-22,0.3422410891595839,1.9017301181863233,,
1988-07-25,0.33648752624221645,1.8337423430829871,,
1988-07-26,0.32525818105126303,1.7371925750156945,,
1988-07-27,0.32779781289705945,1.7666483260987558,,
1988-07-28,0.32762115493968164,1.7304096691451203,,
1988-07-29,0.3336517972114484,1.7834245413328886,,
1988-08-01,0.33026517036136444,1.7988722764580292,,
1988-08-02,0.3275040207249258,1.75298328073193,,
1988-08-03,0.3294462737037991,1.7023430282335716,,
1988-08-04,0.3279030958214051,1.7121647333928398,,
1988-08-05,0.32757502965635676,1.7469661794247076,,
1988-08-08,0.326187773241783,1.778260584752897,,
1988-08-09,0.3167998846797075,1.7631678612067276,,
1988-08-10,0.3188587462635938,1.79311330621746,,
1988-08-11,0.3200284461818233,1.7944770185970362,,
1988-08-12,0.3279297667621414,1.7489738337686678,,
1988-08-15,0.32336362609296826,1.7924338973307674,,
1988-08-16,0.3269458758471457,1.764378357031193,,
1988-08-17,0.3213293245437067,1.7731769508711928,,
1988-08-18,0.3237014689978557,1.8028945294245902,,
1988-08-19,0.32668354955367007,1.8126891484224408,,
1988-08-22,0.3242418981853836,1.7856883497883786,,
1988-08-23,0.32662432094219146,1.7627861959591524,,
1988-08-24,0.3272032169300571,1.7855651808124873,,
1988-08-25,0.3289916449590653,1.7548797504023836,,
1988-08-26,0.32745094571710354,1.7678076439388861,,
1988-08-29,0.32742575718281763,1.7518796807936954,,
1988-08-30,0.3192376015704731,1.7674648265292578,,
1988-08-31,0.3192130448318908,1.7539231847040628,,
1988-09-01,0.323068592444013,1.7585362196475536,,
1988-09-02,0.32064174404398105,1.7402763029743225,,
1988-09-05,0.31852333656280873,1.7401424355664012,,
1988-09-06,0.32013840271443206,1.6888800727914046,,
1988-09-07,0.31832070278260316,1.698647930632301,,
1988-09-08,0.31978613327388977,1.706399622393562,,
1988-09-09,0.3214041434771535,1.6521387432327725,,
1988-09-12,0.306409501894396,1.676767110279184,,
1988-09-13,0.3079932302259109,1.7207139778716747,,
1988-09-14,0.3094344289513411,1.7990028207016604,,
1988-09-15,0.30559316715575496,1.747224167985342,,
1988-09-16,0.30017126076023104,1.6805260279283796,,
1988-09-19,0.291183518366942,1.657191080984016,,
1988-09-20,0.2925849999201729,1.678089927665557,,
1988-09-21,0.2792891250926559,1.6881047380336565,,
1988-09-22,0.27522502358099155,1.7158798437629814,,
1988-09-23,0.2788015651518803,1.6753087071703514,,
1988-09-26,0.27167778130383885,1.6850235244803398,,
1988-09-27,0.27413105456038594,1.6930235977635266,,
1988-09-28,0.27176283689513303,1.6812524637763233,,
1988-09-29,0.2760032613198712,1.6811231366637251,,
1988-09-30,0.27348865077467166,1.6528663603779588,,
1988-10-03,0.27250244023156384,1.6337638854872063,,
1988-10-04,0.27592216588205337,1.6407837846691773,,
1988-10-05,0.27174652956858864,1.599125991798014,,
1988-10-06,0.28313142217355936,1.6111604109690176,,
1988-10-07,0.2832498763262964,1.6280632698562907,,
1988-10-10,0.28729555329316836,1.6792829993667324,,
1988-10-11,0.28797968655875567,1.677415885330322,,
1988-10-12,0.286684852134723,1.7511053106278152,,
1988-10-13,0.2870860546488704,1.7846798309912715,,
1988-10-14,0.2883345757247642,1.839464957845795,,
1988-10-17,0.29595227204443864,1.8750765267620357,,
1988-10-18,0.2937797321118465,1.8070257666247003,,
1988-10-19,0.2934715640649737,1.8900477776606002,,
1988-10-20,0.2947333287781384,1.859821239193684,,
1988-10-21,0.29199356176441055,1.8612004983912438,,
1988-10-24,0.28513917726777765,1.7675556840548652,,
1988-10-25,0.2882112320915156,1.7677164124309235,,
1988-10-26,0.28776491007313143,1.7764813225254674,,
1988-10-27,0.28788404328974454,1.7885388328857643,,
1988-10-28,0.2935136096426455,1.8146616045720942,,
1988-10-31,0.2947749308157027,1.8082101487672118,,
1988-11-01,0.29260791830296656,1.7975704160228245,,
1988-11-02,0.2981399044351512,1.8357196883012925,,
1988-11-03,0.31047957029809536,1.8455527525305648,,
1988-11-04,0.30693584328296775,1.8693514548241865,,
1988-11-07,0.3063289818248708,1.8856763719217544,,
1988-11-08,0.30310083527047255,1.8686853521426876,,
1988-11-09,0.3065547760579782,1.8822617638861037,,
1988-11-10,0.3040542789551105,1.8665117806712905,,
1988-11-11,0.30577207429587533,1.850219798601791,,
1988-11-14,0.3042935351691491,1.8870849033697832,,
1988-11-15,0.31109187667575783,1.8544698136431632,,
1988-11-16,0.310921205080136,1.8443071041820385,,
1988-11-17,0.30811007273219615,1.749088493194291,,
1988-11-18,0.30195337524895727,1.7383426931640427,,
1988-11-21,0.29932834780081674,1.7376212994807452,,
1988-11-22,0.30275911117176457,1.834430160197125,,
1988-11-23,0.30403832296565064,1.8668743227672484,,
1988-11-24,0.30503008840056145,1.8667307170501122,,
1988-11-25,0.3109619738925709,1.8842379834146068,,
1988-11-28,0.3112313449210136,1.9669469270718916,,
1988-11-29,0.30944696278551703,1.965546470853037,,
1988-11-30,0.30869177897260386,2.0134686739242666,,
1988-12-01,0.31188205102681754,2.046800522625611,,
1988-12-02,0.3111238744806375,2.031355373158239,,
1988-12-05,0.3179926225728059,1.9947124507943979,,
1988-12-06,0.3161891818951377,2.006505279795939,,
1988-12-07,0.308478166121369,2.028105940197917,,
1988-12-08,0.3093303807120877,2.0035435622127347,,
1988-12-09,0.30433624913726115,2.0708042740296184,,
1988-12-12,0.3046028207900859,2.097542701977428,,
1988-12-13,0.30530463461527624,2.056455262025505,,
1988-12-14,0.3045550981936436,2.1146837480410015,,
1988-12-15,0.3023562773198719,2.0928469464947157,,
1988-12-16,0.2926518384610942,2.1612300344737,,
1988-12-19,0.29433492273144723,2.150927911415156,,
1988-12-20,0.2941697465120041,2.1843579630231176,,
1988-12-21,0.2965694410007975,2.206868343469535,,
1988-12-22,0.30040932690899763,2.2311440985367987,,
1988-12-23,0.30038621849923536,2.2695006023885207,,
1988-12-26,0.30036311186704306,2.2693260254191063,,
1988-12-27,0.3003400070122841,2.300300059083911,,
1988-12-28,0.29398334998872017,2.2839380641368914,,
1988-12-29,0.29025835414609713,2.2625961368111156,,
1988-12-30,0.2902360265803936,2.3112418701570454,,
1989-01-02,0.2902137007321951,2.3110640823208795,,
1989-01-03,0.2920304105324047,2.322374893407999,,
1989-01-04,0.288886144404082,2.3127123292531864,,
1989-01-05,0.2859002638524339,2.348699604662851,,
1989-01-06,0.284614779074324,2.3618018943635715,,
1989-01-09,0.2791302988266801,2.365376969639219,,
1989-01-10,0.28188279296785734,2.358701423803159,,
1989-01-11,0.28088549555951464,2.3643216092217747,,
1989-01-12,0.28142037337235265,2.377123007281133,,
1989-01-13,0.283348198796902,2.4053738178424946,,
1989-01-16,0.27759796286510446,2.410357560273813,,
1989-01-17,0.27868285261421916,2.4239692721393316,,
1989-01-18,0.27893850505919654,2.472898628695685,,
1989-01-19,0.28044168107379885,2.461879212689984,,
1989-01-20,0.28306054071826103,2.4223053465279647,,
1989-01-23,0.2858309793160204,2.315644055060519,,
1989-01-24,0.2869312734633922,2.3218860711667793,,
1989-01-25,0.2811466829869038,2.385316146714131,,
1989-01-26,0.2840464221491277,2.321697961346578,,
1989-01-27,0.2749362054838137,2.3468875724446843,,
1989-01-30,0.2669379180166356,2.3310645260288774,,
1989-01-31,0.2669173843306343,2.3237684938779926,,
1989-02-01,0.26527095952771707,2.3597928916756747,,
1989-02-02,0.262954420509225,2.3551791929421544,,
1989-02-03,0.2614550326091355,2.3471644574973687,,
1989-02-06,0.25861925110160566,2.312644280078708,,
1989-02-07,0.26273299834639263,2.3354139709758805,,
1989-02-08,0.2621752269938143,2.318279089458277,,
1989-02-09,0.26645081351597383,2.2819515526945153,,
1989-02-10,0.26074675500007216,2.2321720185767444,,
1989-02-13,0.2539001654706223,2.2654770928833563,,
1989-02-14,0.2533523638632365,2.246938604322765,,
1989-02-15,0.24924335515750345,2.3192530164236436,,
1989-02-16,0.2535417840196474,2.3322473885255386,,
1989-02-17,0.24837623366691994,2.374404744038805,,
1989-02-20,0.25096886527562995,2.374222097520032,,
1989-02-21,0.25239341851283653,2.378481414718944,,
1989-02-22,0.2567176713324939,2.430279644406995,,
1989-02-23,0.26160927533911915,2.4515231276319693,,
1989-02-24,0.25877542822879984,2.4874374100561147,,
1989-02-27,0.2616870669276757,2.5085749528908203,,
1989-02-28,0.25684321241730257,2.5213734158137746,,
1989-03-01,0.2529741254486144,2.534555450303347,,
1989-03-02,0.2526912197922513,2.6049412544884327,,
1989-03-03,0.25596288932302214,2.5718303284687063,,
1989-03-06,0.2571355735780239,2.592957788305726,,
1989-03-07,0.26176322230748306,2.5645662483633194,,
1989-03-08,0.26683367134627956,2.5782094339668027,,
1989-03-09,0.26262062474071524,2.56947163646626,,
1989-03-10,0.2652836479280482,2.592716772748663,,
1989-03-13,0.26391491291454244,2.6699384888640445,,
1989-03-14,0.26725658518031925,2.684213149595099,,
1989-03-15,0.26439431139220015,2.748612166979012,,
1989-03-16,0.2596634613302082,2.7502369382045666,,
1989-03-17,0.2661784176775722,2.7522293913512907,,
1989-03-20,0.26777810016873477,2.7303379038160385,,
1989-03-21,0.26410136597239875,2.8113737748339793,,
1989-03-22,0.26488787746633086,2.7933346346165417,,
1989-03-23,0.26688749037356796,2.8097742918448203,,
1989-03-24,0.2668669605666162,2.8095581553608326,,
1989-03-27,0.2668464323388803,2.8679827473319226,,
1989-03-28,0.26128490608229044,2.8013962101109193,,
1989-03-29,0.2508348058746719,2.8586129530748745,,
1989-03-30,0.2517324005194337,2.889831065539095,,
1989-03-31,0.2510569708109611,2.8643980050356106,,
1989-04-03,0.25405139064059035,2.824844404381522,,
1989-04-04,0.2556134911248554,2.8822845859663957,,
1989-04-05,0.25070233686430177,2.8031630786301567,,
1989-04-06,0.2525158628869653,2.751822557441141,,
1989-04-07,0.24973742031686164,2.767760287589468,,
1989-04-10,0.24867300997492758,2.874289916817372,,
1989-04-11,0.2532166888043283,2.8909444189051245,,
1989-04-12,0.256222656749445,2.9196803734495167,,
1989-04-13,0.2601723145761144,2.8752382428556147,,
1989-04-14,0.2546862163108366,2.945519847474119,,
1989-04-17,0.2533476907479913,3.0371391397998293,,
1989-04-18,0.25174971217905334,3.04538268461745,,
1989-04-19,0.2515992271748181,3.0814167599429347,,
1989-04-20,0.2517109487864842,3.113779099148361,,
1989-04-21,0.25169158640580835,3.154890189619776,,
1989-04-24,0.2511478680428676,3.044314693900524,,
1989-04-25,0.25414022831133276,3.1273754647207337,,
1989-04-26,0.2514864191167836,3.1044685085045876,,
1989-04-27,0.25199114052310256,3.093717299681731,,
1989-04-28,0.24318518026080196,3.0386785501647053,,
1989-05-01,0.2431664737084742,3.0973734853205435,,
1989-05-02,0.24301897279335966,3.0077056624744816,,
1989-05-03,0.24441654853654066,3.0178179577271433,,
1989-05-04,0.24401039932611746,3.0651679180505806,,
1989-05-05,0.24063753445930217,2.9837253910862036,,
1989-05-08,0.24394964719404402,2.9026226674695446,,
1989-05-09,0.24109350819751443,2.929862476707078,,
1989-05-10,0.24248524097439775,2.9141411839984466,,
1989-05-11,0.24400944239488584,2.984777595194685,,
1989-05-12,0.24257201288897112,2.9856922474817527,,
1989-05-15,0.23805294510097147,2.9843181969970076,,
1989-05-16,0.23892621740001224,2.9562494891631452,,
1989-05-17,0.23559030486747504,2.883909182167046,,
1989-05-18,0.23316496780523055,2.8889349032474767,,
