,customweights,benchmark
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
2020-01-01,0.0,0.0
1988-01-05,0.0,0.0
1988-01-06,0.0,0.0
1988-01-07,0.0,0.0
1988-01-08,0.0,0.0
1988-01-11,0.0,0.0
1988-01-12,0.0,0.0
1988-01-13,0.0,0.0
1988-01-14,0.0,0.0
1988-01-15,0.0,0.0
1988-01-18,0.0,0.0
1988-01-19,0.0,0.0
1988-01-20,0.0,0.0
1988-01-21,0.0,0.0
1988-01-22,0.0,0.0
1988-01-25,0.0,0.0
1988-01-26,0.0,0.0
1988-01-27,0.0,0.0
1988-01-28,0.0,0.0
1988-01-29,0.0,0.0
1988-02-01,0.0,0.0
1988-02-02,0.0,0.0
1988-02-03,0.0,0.0
1988-02-04,0.0,0.0
1988-02-05,0.0,0.0
1988-02-08,0.0,0.0
1988-02-09,0.0,0.0
1988-02-10,0.0,0.0
1988-02-11,0.0,0.0
1988-02-12,0.0,0.0
1988-02-15,0.0,0.0
1988-02-16,0.0,0.0
1988-02-17,0.0,-0.002295905796981801
1988-02-18,-0.00533316222045066,-0.007308575674007223
1988-02-19,0.0,0.0
1988-02-22,0.0,0.0
1988-02-23,-0.00439425474917865,-0.00224476934200879
1988-02-24,-0.011029698652544995,-0.004190388755504149
1988-02-25,-0.022607314557437586,-0.014890827850742028
1988-02-26,-0.02247352873997932,-0.011561013328030945
1988-02-29,-0.01496692095741281,0.0
1988-03-01,-0.013996500936643064,-0.00014835875727658987
1988-03-02,-0.013842858059346153,0.0
1988-03-03,-0.0234717685846747,-0.0003704648160628432
1988-03-04,-0.02169299345226905,-0.002407854605242954
1988-03-07,-0.018002351398379024,-0.001963342019963399
1988-03-08,-0.01225350062368824,0.0
1988-03-09,-0.014596805326777318,-0.001141636648811839
1988-03-10,-0.0124461583519484,-0.02047599280794621
1988-03-11,-0.00814412684927357,-0.016351348574336955
1988-03-14,-0.008597480594682683,-0.010974589339454832
1988-03-15,-0.010574888269558214,-0.011821544621260172
1988-03-16,0.0,-0.0017308889007902062
1988-03-17,0.0,0.0
1988-03-18,-0.003938111310774595,-0.000329092301154299
1988-03-21,-0.0018973572080740464,-0.009068651106903913
1988-03-22,-0.0004203129897173419,-0.008666464157012
1988-03-23,0.0,-0.008373862500699825
1988-03-24,-0.0014529710202487722,-0.028851648858077006
1988-03-25,-0.011183754868307916,-0.04589208887484153
1988-03-28,-0.009375422946479306,-0.04750106339251492
1988-03-29,-0.005415742948439828,-0.04000478279938946
1988-03-30,-0.008637082866308599,-0.04735476439273101
1988-03-31,-0.012002566690807237,-0.044319714704319724
1988-04-01,-0.012031499634990839,-0.044319714704319724
1988-04-04,-0.0162370381176562,-0.054339155726588095
1988-04-05,-0.015648851804874297,-0.04527039126063137
1988-04-06,-0.007268816319638938,-0.019490396094860918
1988-04-07,-0.003487691208092114,-0.017040440016764857
1988-04-08,0.0,-0.004936516160087501
1988-04-11,0.0,-0.0021574641240932335
1988-04-12,0.0,0.0
1988-04-13,-0.006027631719576321,0.0
1988-04-14,-0.023624440443466566,-0.04338197320594206
1988-04-15,-0.01961276785297017,-0.043308989378926466
1988-04-18,-0.016294755949615602,-0.04531410519148782
1988-04-19,-0.02315698299502822,-0.050016779077899476
1988-04-20,-0.026199902713609946,-0.05661531906018891
1988-04-21,-0.024247574561377827,-0.055521589698871665
1988-04-22,-0.023583280520935612,-0.041814301016703026
1988-04-25,-0.01936363625803228,-0.03306501295803488
1988-04-26,-0.01741189062715709,-0.027341593537321573
1988-04-27,-0.017473325687087815,-0.027669678077586135
1988-04-28,-0.02195738620432852,-0.03204426742373334
1988-04-29,-0.02803942774680357,-0.0367105587630111
1988-05-02,-0.03491941677837773,-0.03565343068157567
1988-05-03,-0.03125768149958297,-0.02996627715053024
1988-05-04,-0.03940637540365566,-0.03966344357395035
1988-05-05,-0.040001410242401114,-0.044730806926054356
1988-05-06,-0.040155511594042625,-0.04928773918227458
1988-05-09,-0.04034689994141394,-0.05187604389389544
1988-05-10,-0.036232814826609006,-0.04775655890654318
1988-05-11,-0.0383529179058969,-0.06365119694497245
1988-05-12,-0.03444817633518227,-0.06160970223082318
1988-05-13,-0.029670897645524663,-0.050709443717482316
1988-05-16,-0.023626769690722194,-0.04309026392171955
1988-05-17,-0.028523952379406192,-0.05490190888630442
1988-05-18,-0.035291626495289496,-0.06959340015162563
1988-05-19,-0.029717450139552848,-0.06492715984998898
1988-05-20,-0.03178066552384995,-0.06325012857769208
1988-05-23,-0.03729235234868877,-0.07119744759690672
1988-05-24,-0.031675601108834495,-0.06117225131640913
1988-05-25,-0.036329081809041375,-0.06004203004158404
1988-05-26,-0.0344192876461451,-0.05679755260388797
1988-05-27,-0.03618337871439126,-0.06091703759124034
1988-05-30,-0.03621323513018071,-0.06091703759124034
1988-05-31,-0.009360851847497353,-0.028398721618757117
1988-06-01,-0.0014209558610424056,-0.011519826313987958
1988-06-02,-0.0013640691861356302,-0.016514315205450547
1988-06-03,0.0,-0.01228547113504086
1988-06-06,0.0,-0.009842904408065345
1988-06-07,0.0,-0.016587186020546207
1988-06-08,-0.002157606488952135,0.0
1988-06-09,-0.007814878603220832,-0.004489182135763881
1988-06-10,-0.005980856345542351,-0.0005430288835165387
1988-06-13,-0.009188112693678141,0.0
1988-06-14,-0.004442377955153787,0.0
1988-06-15,-0.007155462500889387,0.0
1988-06-16,-0.014043746802878565,-0.01700270116107294
1988-06-17,-0.015735459280550534,-0.013638056315646407
1988-06-20,-0.015311770853407958,-0.01986637841948946
1988-06-21,-0.007231780717693481,-0.009915327424735554
1988-06-22,-0.0023617688319438335,0.0
