,uniform,onlystocks,sixtyforty,riskparity_nested
2006-02-08,0.0,0.0,0.0,0.0
2006-02-09,0.0,0.0,0.0,0.0
2006-02-10,0.0,0.0,0.0,0.0
2006-02-13,0.0,0.0,0.0,0.0
2006-02-14,0.0,0.0,0.0,0.0
2006-02-15,0.0,0.0,0.0,0.0
2006-02-16,0.0,0.0,0.0,0.0
2006-02-17,0.0,0.0,0.0,0.0
2006-02-21,0.0,0.0,0.0,0.0
2006-02-22,0.0,0.0,0.0,0.0
2006-02-23,0.0,0.0,0.0,0.0
2006-02-24,0.0,0.0,0.0,0.0
2006-02-27,0.0,0.0,0.0,0.0
2006-02-28,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0
2006-03-02,0.0,0.0,0.0,0.0
2006-03-03,0.0,0.0,0.0,0.0
2006-03-06,0.0,0.0,0.0,0.0
2006-03-07,0.0,0.0,0.0,0.0
2006-03-08,0.0,0.0,0.0,0.0
2006-03-09,0.0,0.0,0.0,0.0
2006-03-10,0.0,0.0,0.0,0.0
2006-03-13,0.0,0.0,0.0,0.0
2006-03-14,0.0,0.0,0.0,0.0
2006-03-15,-2.910383045673371e-16,0.0,-1.4551915228366853e-16,0.0
2006-03-16,0.011219866715112473,0.0041099889016203576,0.0085572649796828,0.0
2006-03-17,-0.004743593916242551,0.001666507544462076,-0.001052933124547657,0.0
2006-03-20,-0.0059461103960076,-0.003223563292056971,-0.0005151212227110985,0.0
2006-03-21,-0.009637084774268927,-0.012727491358072265,-0.01137327296611151,0.0
2006-03-22,0.0037831585938231933,0.012037435134833024,0.008550276885093277,0.0
2006-03-23,-0.0004320874947551164,-0.004156263060853031,-0.0047900179409621985,0.0
2006-03-24,0.011400572786799679,0.0015337537413577305,0.005592342997838442,0.0
2006-03-27,0.001906893649466007,-0.002924947625200945,-0.004133129562665971,0.0
2006-03-28,-0.008829501999278235,-0.01245080368536383,-0.01324223318606902,0.0
2006-03-29,0.010079304243142963,0.012373321530139198,0.005152744215211519,0.0
2006-03-30,0.0075795045112233275,-0.003547781093784086,-0.006094087481816541,0.0
2006-03-31,-0.006434432800254389,0.00046126224724180243,0.0004369569396929471,0.0
2006-04-03,0.003369755071199438,-0.001541159873552528,-0.0012465874352362806,0.0
2006-04-04,0.0019031922478379864,0.012625883997867427,0.00730505102326204,0.0
2006-04-05,0.008313106149178613,0.0068408744465551655,0.005615751978395372,0.0
2006-04-06,0.0016659883256639062,-0.002140340217551143,-0.0054013582966698,0.0
2006-04-07,-0.018510248096768392,-0.02073259016287669,-0.018265089283913693,0.0
2006-04-10,0.013279662978334997,0.0030768538834505367,0.003082188412807332,0.0
2006-04-11,-0.006995409475470505,-0.01723790392222761,-0.008280572843291081,0.0
2006-04-12,0.0006985441236524726,0.003714532968089344,-0.0010689893901399145,0.0
2006-04-13,-0.003995641711132891,-0.0026429073505692116,-0.006497594262435534,0.0
2006-04-17,0.016943862316912785,-0.0007767618243461377,0.002471624872396107,0.0
2006-04-18,0.019711572131362036,0.030716050824623996,0.020739745486451883,0.0
2006-04-19,0.01478536543557581,0.0038080123682989364,-0.0011008021995162671,0.0
2006-04-20,-0.02397072406729882,0.0027398501755940656,0.0010364398148423853,0.0
2006-04-21,0.02513687236784045,0.00030418129573219643,0.0031709958766350985,0.0
2006-04-24,-0.014083104778747654,-0.0036705481195781265,-0.00025417619736022213,0.0
2006-04-25,-0.0014211132089978686,-0.008312711045416346,-0.012177531224186017,0.0
2006-04-26,0.0034059979781161324,0.00045862209759139075,-0.000537128361880973,0.0
2006-04-27,-0.003413123088594113,0.009564898742203449,0.007457153413419503,0.0
2006-04-28,0.019617252654065533,0.00666640455900341,0.004981672186687887,0.0
2006-05-01,-0.007494998545186341,-0.016536494530801752,-0.015157775331870014,0.0
2006-05-02,0.01880781804310532,0.01479901962633514,0.010607063897617225,0.0
2006-05-03,-0.00783056812343745,-0.007509671214576103,-0.00592872646688116,0.0
2006-05-04,0.004952469034502119,0.0071252826923075,0.0033928594353966352,0.0
2006-05-05,0.016374180398329073,0.017343456250781077,0.013784008650125325,0.0
2006-05-08,-0.005010668016850848,-0.002419159980711767,-0.0010337650013660098,0.0
2006-05-09,0.015412540975917906,0.003910758070357813,0.0019910694320006386,0.0
2006-05-10,0.011727767291193021,-0.0010558964260105111,0.00026014827376958396,0.0
2006-05-11,-0.0025769636294851986,-0.024722522588475248,-0.017535860872656815,0.0
2006-05-12,-0.011700768956435601,-0.026798232369335945,-0.02091211434128805,0.0
2006-05-15,-0.029046776665694097,0.004004188287976898,0.004833599099675722,0.0
2006-05-16,0.011292650528255267,-0.0029414830369320502,0.002740958574760969,0.0
2006-05-17,-0.017237529117138762,-0.03952388028779499,-0.0269874659978123,0.0
2006-05-18,0.0015563611628176943,-0.01018606392817925,0.0026040604631649995,0.0
2006-05-19,-0.012210395190404531,0.013897242159992525,0.008928197554530823,0.0
2006-05-22,-0.00015993661548396244,-0.015488844508175248,-0.00748344279432232,0.0
