,uniform,onlystocks,sixtyforty,riskparity,benchmark
GLD,0.21086497406136087,0.0,0.0,0.16712355029107248,0.0
COM,0.2089947082263088,0.0,0.0,0.12795374749996244,0.0
SP500TR,0.202178148883157,0.9999985789316064,0.6231217609392823,0.2988977698020605,0.0
LTB,0.17548863379965035,0.0,0.17993201078714505,0.04444116391375816,0.0
ITB,0.19395699428885332,0.0,0.19548738180860292,0.33936166667229106,0.0
