,uniform,onlystocks,sixtyforty,riskparity,benchmark
1988-01-06,0.0,0.0,0.0,0.0,0.0
1988-01-07,0.0,0.0,0.0,0.0,0.0
1988-01-08,0.0,0.0,0.0,0.0,0.0
1988-01-11,0.0,0.0,0.0,0.0,0.0
1988-01-12,0.0,0.0,0.0,0.0,0.0
1988-01-13,0.0,0.0,0.0,0.0,0.0
1988-01-14,0.0,0.0,0.0,0.0,0.0
1988-01-15,0.0,0.0,0.0,0.0,0.0
1988-01-18,0.0,0.0,0.0,0.0,0.0
1988-01-19,0.0,0.0,0.0,0.0,0.0
1988-01-20,-0.0013022916395463357,-0.05681262577316369,-0.0222301742956729,0.0,-0.027538069586752405
1988-01-21,0.0025285287278265156,0.004105131970897605,0.006646546635978831,0.0,0.0020918338221717976
1988-01-22,0.010471599265561715,0.026868606347285863,0.022063322250123505,0.0,0.013633769299443182
1988-01-25,-0.0025865038187857293,0.04452539104886613,0.014904948123551878,0.0,0.022772180253286076
1988-01-26,0.012819492196172755,-0.020771989088081005,0.009774008442148582,0.0,-0.010224451243088612
1988-01-27,0.0015243595701264522,-0.0015994738786444594,0.007897172214379319,0.0,-0.000759430868992191
1988-01-28,0.016536366296817546,0.030281236220688675,0.027509732039438354,0.0,0.01538765501176252
1988-01-29,-0.0028360631297478017,0.02901064372615618,0.01681582739591709,0.0,0.01473440515085872
1988-02-01,0.00733552865271222,-0.015536821144274595,0.005367053544281901,0.0,-0.007658068656313267
1988-02-02,-0.005588485404794504,0.004907498679529996,-0.007020849674262675,0.0,0.002494344970093045
1988-02-03,-0.01839687819843886,-0.027017208302823777,-0.024357873739492962,0.0,-0.013269098751154703
1988-02-04,0.01607461827120368,0.001345168217571121,0.0157294910894131,0.0,0.0007103709718320521
1988-02-05,-0.008833112147786194,-0.00844742891902326,-0.01217625949134942,0.0,-0.004160899692681319
1988-02-08,0.0032635877707955984,-0.014737016516991008,-0.005931023887273889,0.0,-0.007264567146707185
1988-02-09,0.008508908720927216,0.02082721054941247,0.019522656145613788,0.0,0.010545015922729313
1988-02-10,-0.0014126269998571835,0.037904485265745476,0.015007294501970558,0.0,0.01932687533219491
1988-02-11,-0.017663605273362006,-0.005537872848031912,-0.017832514775816953,0.0,-0.0027185988755579404
1988-02-12,-0.0017344923899548566,0.013809313846850049,0.004419679438487017,0.0,0.006980320415595248
1988-02-15,0.0013983934152215444,0.0,0.0,0.0,0.0
1988-02-16,0.0028535599998167046,0.01715814575492419,0.009130456141408649,0.0,0.008678441451896135
1988-02-17,0.004065654237917232,-0.00469325971957689,0.0012760917117446392,0.0,-0.0022991378143148817
1988-02-18,-0.004453190356691437,-0.01023473976112098,-0.004480602403364907,0.0,-0.005045051143109488
1988-02-19,0.009145762058742244,0.02789459958988568,0.01953902970779628,0.0,0.014161434475807677
1988-02-22,0.01843306841700847,0.030305733528801185,0.028682884241317402,0.0,0.01540127960833445
1988-02-23,-0.005237931658015755,-0.0045899373340029855,-0.003754007802013117,0.0,-0.002247858795131515
1988-02-24,-0.011125982664758033,-0.0039949898172804135,-0.006801075070126224,0.0,-0.0019521004213130164
1988-02-25,-0.007479773465263757,-0.022055894799819335,-0.0090406576804409,0.0,-0.010852597468419583
1988-02-26,0.0038954472662836004,0.006642794652054184,0.008273327677667785,0.0,0.0033657970547557588
1988-02-29,0.006563719622779172,0.03985389442477578,0.023431929766619477,0.0,0.020340190873399475
1988-03-01,0.004268757035171658,-0.0003739322567274064,0.0039044714645955093,0.0,-0.00014825286523605902
1988-03-02,0.001198530782395433,0.0022188075596777184,0.002634898818668061,0.0,0.0011473758532520731
1988-03-03,-0.02415064348429916,-0.0008189219539370525,-0.020492283113998606,0.0,-0.0003702828969700519
1988-03-04,0.0004704430550156734,-0.004172809770488467,-0.005097478359289946,0.0,-0.0020405446593720804
1988-03-07,0.0003967793186279481,0.0008140951714688816,-0.003767054552945983,0.0,0.00044500279128512483
1988-03-08,0.005045450180992256,0.015427747405792384,0.010278831389545636,0.0,0.007800695756734129
1988-03-09,-0.003350382428412691,-0.002367038930896982,-0.00418055775768047,0.0,-0.0011419620170031045
1988-03-10,0.0071052410734924725,-0.040378442878733295,-0.018198796599205175,0.0,-0.019721273272116698
1988-03-11,0.004092980947406264,0.008280420778527458,0.0052363373837073755,0.0,0.004189559923930198
1988-03-14,-0.001489618067648454,0.010744792226629028,0.005736845449884189,0.0,0.005431716654257001
1988-03-15,-0.007997562400108574,-0.0017937849912717284,-0.008961682370479602,0.0,-0.0008563449572262655
1988-03-16,0.017616036611808224,0.019951096269599948,0.01935335191293808,0.0,0.01009948441280445
1988-03-17,-0.007018434838895965,0.017334852272575828,-0.001602076228640891,0.0,0.008768703536122285
1988-03-18,-0.007051910876897313,-0.000735998952701091,-0.006895319395077503,0.0,-0.00032892074341172586
1988-03-21,0.003740183846345595,-0.01788570666431293,-0.010073879147707606,0.0,-0.008811975453049516
1988-03-22,-0.0006927750108100668,0.0007347358722060027,-0.0028887157187010974,0.0,0.00040535512206402435
1988-03-23,0.004037758167619226,0.0005134733515677023,-0.0015139554686858458,0.0,0.0002948196412095802
1988-03-24,0.0027907544969941645,-0.04318934129105058,-0.020504123225449002,0.0,-0.021067702652779803
1988-03-25,-0.01823918685207091,-0.03647354220849859,-0.03452735375128083,0.0,-0.017844166597989552
1988-03-28,0.0037861834107543297,-0.003463514139625245,-3.9977210089810424e-05,0.0,-0.0016877066990205187
1988-03-29,0.002148124569192597,0.015430471307612607,0.007848296621902808,0.0,0.007801751240809105
